time,gFx,gFy,gFz,TgF
0.004147,-0.0838,1.0024,-0.0474,1.01
0.018979,-0.0919,1.0019,-0.0337,1.01
0.043506,-0.0967,1.0031,-0.0310,1.01
0.060895,-0.0877,1.0021,-0.0357,1.01
0.077505,-0.0850,1.0019,-0.0337,1.01
0.112934,-0.0945,1.0019,-0.0420,1.01
0.127394,-0.0965,1.0036,-0.0432,1.01
0.143781,-0.0867,1.0107,-0.0420,1.02
0.160899,-0.0811,1.0126,-0.0408,1.02
0.177194,-0.0831,1.0083,-0.0364,1.01
0.211105,-0.0901,0.9995,-0.0239,1.00
0.230394,-0.0928,1.0031,-0.0315,1.01
0.244946,-0.0987,1.0009,-0.0315,1.01
0.261246,-0.0977,1.0007,-0.0310,1.01
0.277773,-0.0875,1.0061,-0.0393,1.01
0.311168,-0.1029,1.0019,-0.0406,1.01
0.330687,-0.1063,0.9936,-0.0129,1.00
0.344816,-0.1065,0.9855,0.0037,0.99
0.361509,-0.1141,0.9816,0.0054,0.99
0.378416,-0.1138,0.9704,-0.0059,0.98
0.411438,-0.1322,0.9418,0.0557,0.95
0.431039,-0.1744,0.9227,0.0423,0.94
0.445232,-0.1947,0.9164,-0.0115,0.94
0.461801,-0.1932,0.9398,-0.0440,0.96
0.495500,-0.0530,1.0706,0.0401,1.07
0.513231,-0.0034,1.1070,0.0386,1.11
0.534915,-0.0066,1.0930,-0.0318,1.09
0.551715,-0.0542,1.0510,-0.0638,1.05
0.562228,-0.0855,1.0232,-0.0645,1.03
0.595563,-0.1796,0.9543,-0.0144,0.97
0.617218,-0.1928,0.9697,0.0020,0.99
0.629653,-0.1888,0.9877,-0.0012,1.01
0.646219,-0.1732,1.0100,-0.0244,1.02
0.664145,-0.1322,1.0239,-0.0572,1.03
0.696334,-0.0469,1.0061,-0.1236,1.01
0.719121,0.0523,0.9609,-0.1683,0.98
0.733544,0.1004,0.9340,-0.1840,0.96
0.747464,0.1385,0.9103,-0.1669,0.94
0.779680,0.0894,1.0068,0.0186,1.01
0.797767,0.0501,1.0847,0.1099,1.09
0.814107,-0.0027,1.1079,0.1085,1.11
0.835651,-0.0440,1.0996,-0.0322,1.10
0.847964,-0.0462,1.0749,-0.1268,1.08
0.880109,-0.0926,1.0366,-0.1195,1.05
0.897668,-0.0283,1.0317,-0.0093,1.03
0.914971,0.0577,1.0097,0.0308,1.01
0.937007,0.1107,0.9758,0.0000,0.98
0.947349,0.1229,0.9628,-0.0191,0.97
0.980596,0.0701,0.9648,-0.0467,0.97
0.998124,0.0198,0.9733,-0.0674,0.98
1.015476,-0.0283,0.9877,-0.0665,0.99
1.036010,0.0103,0.9767,-0.0643,0.98
1.052438,0.0584,0.9606,-0.0679,0.96
1.080892,0.1258,0.9848,-0.0413,0.99
1.098263,0.0960,1.0070,-0.0117,1.01
1.116056,0.0599,1.0185,-0.0110,1.02
1.137363,0.0327,1.0146,-0.0276,1.02
1.149135,0.0242,1.0024,-0.0403,1.00
1.181538,0.0669,0.9943,-0.0393,1.00
1.198167,0.0801,1.0014,-0.0169,1.00
1.231787,0.0457,1.0122,-0.0283,1.01
