time,gFx,gFy,gFz,TgF
0.006396,-0.0274,0.9955,0.0225,1.00
0.008342,-0.0296,0.9958,0.0242,1.00
0.040877,-0.0269,1.0136,0.0261,1.01
0.057156,-0.0276,1.0105,0.0291,1.01
0.074116,-0.0266,1.0068,0.0354,1.01
0.093377,-0.0249,1.0087,0.0359,1.01
0.123975,-0.0296,1.0019,0.0332,1.00
0.141082,-0.0198,1.0009,0.0396,1.00
0.157021,-0.0230,1.0004,0.0286,1.00
0.173937,-0.0271,1.0026,0.0310,1.00
0.193504,-0.0315,1.0046,0.0384,1.01
0.224199,-0.0261,1.0041,0.0213,1.00
0.241018,-0.0271,1.0041,0.0342,1.01
0.257585,-0.0225,1.0070,0.0384,1.01
0.274550,-0.0203,1.0070,0.0423,1.01
0.290809,-0.0220,1.0036,0.0535,1.01
0.310744,-0.0244,1.0009,0.0447,1.00
0.340940,-0.0313,1.0131,0.0191,1.01
0.357648,-0.0266,1.0078,0.0344,1.01
0.375749,-0.0222,1.0090,0.0322,1.01
0.391530,-0.0276,1.0075,0.0244,1.01
0.424973,-0.0237,1.0092,-0.0022,1.01
0.441480,-0.0264,1.0070,-0.0020,1.01
0.458626,-0.0232,1.0073,-0.0095,1.01
0.474898,-0.0139,1.0124,0.0049,1.01
0.493668,-0.0100,1.0095,0.0032,1.01
0.528196,-0.0222,0.9809,-0.0049,0.98
0.541894,-0.0098,0.9726,-0.0147,0.97
0.558623,-0.0151,0.9631,-0.0147,0.96
0.577783,-0.0208,0.9604,-0.0200,0.96
0.592676,-0.0151,0.9665,-0.0103,0.97
0.624753,-0.0257,0.9916,-0.0051,0.99
0.641560,-0.0257,1.0002,-0.0193,1.00
0.660398,-0.0252,0.9775,-0.0728,0.98
0.674946,-0.0191,0.9716,-0.0982,0.98
0.708183,-0.0164,0.9909,-0.1046,1.00
0.725165,-0.0037,0.9909,-0.0713,0.99
0.742118,-0.0024,0.9828,-0.0523,0.98
0.758652,-0.0027,0.9909,-0.0691,0.99
0.776331,0.0159,1.0056,-0.0816,1.01
0.831733,0.0320,1.0122,-0.1275,1.02
0.831952,0.0320,1.0122,-0.1275,1.02
0.847432,0.0298,1.0144,-0.1561,1.03
0.859640,0.0220,1.0083,-0.1527,1.02
0.893201,0.0474,0.9684,-0.1959,0.99
0.913521,0.0205,0.9723,-0.2209,1.00
0.927450,0.0081,0.9753,-0.2253,1.00
0.943420,0.0151,0.9955,-0.2243,1.02
0.960075,0.0315,0.9970,-0.2121,1.02
0.998059,0.0413,0.9650,-0.2426,1.00
1.011286,0.0498,0.9152,-0.2922,0.96
1.027192,0.0525,0.8626,-0.3235,0.92
1.044126,0.0410,0.8336,-0.3046,0.89
1.061424,0.0237,0.7979,-0.2631,0.84
1.096919,0.0247,0.7410,-0.3604,0.82
1.116782,0.0503,0.6958,-0.3811,0.79
1.132394,0.0445,0.6543,-0.3770,0.76
1.145130,0.0252,0.6630,-0.3731,0.76
1.161472,0.0281,0.6494,-0.3914,0.76
1.200937,0.0518,0.5797,-0.3990,0.71
1.213583,0.0787,0.5907,-0.3611,0.70
1.227553,0.0880,0.6105,-0.3164,0.69
1.245418,0.0711,0.6208,-0.2971,0.69
1.262485,0.0838,0.6200,-0.3721,0.73
1.296932,0.0757,0.7688,-0.4754,0.91
1.318236,0.1151,0.8206,-0.5490,0.99
1.333257,0.0909,0.8470,-0.5553,1.02
1.345562,0.0794,0.8622,-0.5731,1.04
1.363568,0.0608,0.8600,-0.6130,1.06
1.396418,0.0337,0.8753,-0.5885,1.06
1.418146,0.0024,0.9188,-0.5866,1.09
1.433934,0.0344,0.9513,-0.6340,1.14
1.445642,0.0381,0.9831,-0.6831,1.20
1.479999,0.1031,0.9618,-0.7339,1.21
1.497421,0.0843,0.8805,-0.6801,1.12
1.518071,0.0293,0.7906,-0.6393,1.02
1.534219,0.0083,0.7564,-0.6872,1.02
1.545632,0.0195,0.7346,-0.7405,1.04
1.581072,0.0794,0.8214,-0.8131,1.16
1.595905,0.0801,0.8981,-0.7661,1.18
1.618783,0.0796,0.9225,-0.7332,1.18
1.634627,0.0537,0.8900,-0.7144,1.14
1.646587,0.0142,0.8575,-0.7043,1.11
1.679852,0.0816,0.8363,-0.6608,1.07
1.702190,0.1781,0.9230,-0.7434,1.20
1.717241,0.1085,0.9230,-0.7586,1.20
1.729672,0.0420,0.8609,-0.7466,1.14
1.747682,0.0142,0.7869,-0.7571,1.09
1.780709,0.0977,0.9350,-0.8214,1.25
1.802596,0.1512,0.9828,-0.8316,1.30
1.816685,0.0933,0.9821,-0.8170,1.28
1.829751,-0.0122,0.9565,-0.7820,1.24
1.848353,-0.0762,0.8888,-0.7036,1.14
1.881646,0.1363,1.0940,-0.6569,1.28
1.898917,0.1722,1.1514,-0.5995,1.31
1.919354,0.0855,1.0884,-0.5463,1.22
1.934053,-0.0022,1.0285,-0.5162,1.15
