time,gFx,gFy,gFz,TgF
0.012421,0.0222,0.9843,0.1554,1.00
0.030088,0.0244,0.9872,0.1661,1.00
0.044780,0.0322,0.9809,0.1603,0.99
0.078723,0.0469,0.9999,0.1571,1.01
0.097926,0.0625,1.0002,0.1571,1.01
0.111944,0.0415,0.9933,0.1356,1.00
0.128502,0.0296,0.9919,0.1280,1.00
0.144973,0.0286,0.9929,0.1502,1.00
0.178562,0.0403,0.9882,0.1459,1.00
0.198093,0.0464,0.9912,0.1598,1.01
0.212167,0.0503,0.9748,0.1495,0.99
0.228515,0.0501,0.9814,0.1446,0.99
0.246029,0.0506,0.9963,0.1634,1.01
0.278732,0.0442,1.0092,0.1517,1.02
0.297495,0.0447,1.0002,0.1490,1.01
0.312776,0.0454,0.9926,0.1480,1.00
0.328489,0.0440,0.9841,0.1266,0.99
0.362214,0.0298,0.9828,0.1510,0.99
0.379347,0.0374,0.9804,0.1586,0.99
0.398498,0.0423,0.9912,0.1683,1.01
0.412550,0.0418,0.9985,0.1617,1.01
0.429079,0.0366,1.0002,0.1441,1.01
0.465580,0.0318,0.9824,0.1371,0.99
0.479735,0.0462,0.9792,0.1500,0.99
0.496315,0.0528,0.9841,0.1461,1.00
0.512948,0.0486,0.9828,0.1502,1.00
0.529880,0.0188,0.9838,0.1544,1.00
0.565042,-0.0608,0.9425,0.2783,0.98
0.584872,-0.1505,0.9245,0.2416,0.97
0.597830,-0.1903,0.9506,0.1202,0.98
0.613950,-0.1862,0.9946,-0.0220,1.01
0.631048,-0.1204,1.0173,0.0291,1.02
0.666161,-0.0029,1.0197,0.1656,1.03
0.682787,0.0125,1.0134,0.1840,1.03
0.703171,0.0784,1.0544,0.1879,1.07
0.714279,0.0972,1.0715,0.1322,1.08
0.730840,0.0621,1.0693,0.0799,1.07
0.765454,-0.0090,0.9938,0.1314,1.00
0.782380,-0.0567,0.9963,0.1581,1.01
0.801936,-0.0647,0.9975,0.1713,1.01
0.814252,-0.0425,0.9892,0.1830,1.01
0.831830,-0.0203,0.9609,0.1686,0.98
0.866325,-0.0159,0.9650,0.1244,0.97
0.882234,-0.0266,0.9750,0.0845,0.98
0.904999,-0.0208,0.9474,0.1678,0.96
0.914592,-0.0283,0.9308,0.1940,0.95
0.949079,-0.0369,0.9706,0.1016,0.98
0.965306,-0.0520,0.9980,0.0843,1.00
0.986543,-0.0669,1.0173,0.1082,1.03
0.998259,-0.0657,1.0224,0.1090,1.03
1.015180,-0.0603,1.0192,0.0931,1.03
1.049081,-0.0081,0.9977,0.1385,1.01
1.066879,0.0039,0.9921,0.1380,1.00
1.083058,-0.0056,1.0048,0.1160,1.01
1.104262,-0.0107,1.0202,0.0909,1.02
1.116081,-0.0115,1.0222,0.1019,1.03
1.148856,-0.0508,1.0173,0.1234,1.03
1.166519,-0.0024,1.0483,0.1656,1.06
1.183271,0.0628,1.1001,0.1112,1.11
1.203794,0.0723,1.1663,0.0151,1.17
1.217873,0.0672,1.1539,0.0217,1.16
1.250600,0.0203,1.1287,0.1285,1.14
1.267811,-0.0305,1.1404,0.1124,1.15
1.282737,-0.0660,1.1016,0.1493,1.11
1.305878,-0.0723,0.9638,0.1510,0.98
1.318705,-0.0513,0.9271,0.1480,0.94
1.350496,0.0159,0.8878,0.1197,0.90
1.367309,0.0484,0.8695,0.1060,0.88
1.384563,0.0875,0.8514,0.0669,0.86
1.404675,0.1165,0.8328,-0.0134,0.84
1.419543,0.1278,0.8255,-0.0581,0.84
1.450562,0.0628,0.9606,-0.0818,0.97
1.466964,0.0594,1.0845,-0.0523,1.09
1.489753,0.0994,1.1138,0.0022,1.12
1.501899,0.0901,1.0784,-0.0017,1.08
1.534537,0.0806,1.0632,0.0545,1.07
1.550871,0.0577,1.0337,0.0892,1.04
1.568845,0.0655,0.9943,0.1131,1.00
1.584557,0.0694,0.9787,0.1009,0.99
1.606290,0.0425,0.9694,0.1187,0.98
1.620052,0.0191,0.9557,0.1393,0.97
1.651934,0.0173,0.9594,0.1429,0.97
1.668086,0.0513,0.9721,0.1371,0.98
1.688233,0.0784,0.9870,0.1307,1.00
1.706404,0.0882,0.9814,0.1549,1.00
1.734817,0.0674,0.9662,0.1278,0.98
1.751056,0.0523,0.9885,0.1055,1.00
1.768632,0.0408,0.9965,0.1182,1.00
1.784866,0.0327,0.9672,0.1566,0.98
1.807566,0.0388,0.9504,0.1212,0.96
1.835034,0.0357,0.9848,0.1339,0.99
1.852303,0.0393,0.9682,0.1393,0.98
1.869620,0.0804,0.9616,0.1515,0.98
1.888641,0.1268,0.9562,0.1539,0.98
1.918208,0.1564,0.9699,0.1510,0.99
1.935008,0.1532,0.9946,0.1334,1.02
1.952260,0.0867,1.0078,0.1195,1.02
1.970274,0.0699,0.9990,0.1202,1.01
1.986154,0.0804,0.9850,0.1522,1.00
2.008333,0.1153,1.0488,0.1051,1.06
2.036535,-0.0076,1.1641,0.0955,1.17
2.052850,-0.0696,1.1192,0.1847,1.14
2.072232,-0.0970,1.0434,0.2533,1.08
2.086757,-0.0953,1.0652,0.2113,1.09
2.107858,-0.0362,1.2330,0.1073,1.24
2.135992,0.0486,1.2272,0.0901,1.23
2.152538,0.0591,1.0747,0.1373,1.09
2.169420,0.0625,0.9782,0.1153,0.99
2.192133,0.0388,1.0012,0.0403,1.00
2.220490,0.0545,0.9337,-0.0672,0.94
2.236745,0.0164,0.8333,-0.0799,0.84
2.252963,-0.0432,0.7661,-0.0875,0.77
2.270064,-0.0738,0.8018,-0.1138,0.81
2.288094,-0.0892,0.9662,-0.1739,0.99
2.320164,-0.0716,1.1377,-0.1200,1.15
2.337338,-0.0486,1.1153,-0.0254,1.12
2.353177,0.0017,1.0994,-0.0325,1.10
2.371236,0.0445,1.1133,-0.0281,1.11
2.391761,0.0574,1.0434,-0.0046,1.05
2.420719,0.0564,0.9408,0.0726,0.95
2.436987,0.0662,0.9227,0.0535,0.93
2.454921,0.0621,0.9081,0.0767,0.91
2.471180,0.0371,0.8976,0.1112,0.91
