time,gFx,gFy,gFz,TgF
0.002719,0.0442,1.0058,0.0129,1.01
0.028739,0.0337,1.0188,0.1153,1.03
0.044998,0.0640,0.9841,0.1551,1.00
0.062747,0.0528,0.9933,0.1090,1.00
0.079009,0.0508,0.9784,0.1331,0.99
0.098499,0.0322,0.9750,0.0867,0.98
0.128709,0.0337,0.9963,0.0985,1.00
0.145763,0.0381,1.0004,0.1116,1.01
0.162688,0.0366,1.0039,0.1121,1.01
0.181934,0.0374,1.0131,0.1151,1.02
0.212427,0.0545,1.0053,0.0953,1.01
0.229151,0.0618,0.9990,0.1156,1.01
0.246125,0.0462,0.9904,0.1121,1.00
0.262573,0.0300,0.9799,0.1156,0.99
0.282110,0.0032,0.9714,0.1138,0.98
0.312526,-0.0264,0.9726,0.1478,0.98
0.329322,-0.0298,0.9728,0.1725,0.99
0.346561,-0.0276,0.9814,0.1708,1.00
0.362980,-0.0298,1.0068,0.1700,1.02
0.382207,-0.0217,1.0283,0.1808,1.04
0.412924,0.0208,1.0461,0.1644,1.06
0.430208,0.0322,1.0349,0.1454,1.05
0.446577,0.0318,1.0124,0.1483,1.02
0.463166,0.0515,1.0009,0.1700,1.02
0.482729,0.0765,0.9897,0.1708,1.01
0.514076,0.1109,0.9772,0.1573,1.00
0.530758,0.0858,0.9755,0.1204,0.99
0.546950,0.0647,0.9794,0.0867,0.99
0.564881,0.0953,0.9655,0.1224,0.98
0.581381,0.1090,0.9474,0.2167,0.98
0.602255,0.1395,0.9320,0.2270,0.97
0.631021,0.1329,0.9596,0.2182,0.99
0.647920,0.1156,0.9863,0.1500,1.00
0.667358,0.1126,1.0161,0.0953,1.03
0.681466,0.1004,1.0139,0.1190,1.03
0.702442,0.1180,1.0085,0.2111,1.04
0.732182,0.1138,0.9990,0.2089,1.03
0.748345,0.1043,0.9968,0.1867,1.02
0.765389,0.0980,0.9689,0.2040,0.99
0.803125,0.1375,0.9347,0.2792,0.99
0.814419,0.1461,0.9486,0.2336,0.99
0.831784,0.1344,0.9643,0.1730,0.99
0.849215,0.0999,0.9758,0.1180,0.99
0.865106,0.0814,0.9665,0.1182,0.98
0.888263,0.0911,0.9511,0.2106,0.98
0.915316,0.0889,0.9667,0.1959,0.99
0.932065,0.0684,0.9662,0.1441,0.98
0.949827,0.0515,0.9599,0.1068,0.97
0.965564,0.0806,0.9416,0.1016,0.95
0.988950,0.1317,0.8688,0.1461,0.89
1.015635,0.1520,0.8231,0.1693,0.85
1.033103,0.1278,0.8211,0.0931,0.84
1.050089,0.1053,0.8482,0.0970,0.86
1.065753,0.0850,0.8807,0.1148,0.89
1.087011,0.0994,0.8744,0.1339,0.89
1.117075,0.1617,0.8482,0.2731,0.91
1.134472,0.1021,0.8988,0.2111,0.93
1.149293,0.0862,0.9814,0.1170,0.99
1.167324,0.1339,0.9816,0.0569,0.99
1.206488,0.0545,0.9235,0.2421,0.96
1.220989,0.0640,0.9430,0.1527,0.96
1.232801,0.0926,0.9958,0.0711,1.00
1.249275,0.1429,1.0434,0.0305,1.05
1.286442,0.1700,0.8316,0.4053,0.94
1.300744,0.1705,0.8174,0.4146,0.93
1.316934,0.1764,0.9296,0.3386,1.00
1.333474,0.1854,1.0566,0.2912,1.11
1.351239,0.1397,1.0530,0.3108,1.11
1.384546,0.0508,0.8810,0.4664,1.00
1.405853,0.1192,0.9682,0.2783,1.01
1.419408,0.1415,1.0903,0.1109,1.11
1.433833,0.1363,1.2672,-0.0613,1.28
1.467350,0.1801,1.3564,-0.2282,1.39
1.485259,0.2091,1.0920,0.0181,1.11
1.506637,0.0948,0.7659,0.4207,0.88
1.519053,-0.0032,0.6674,0.5607,0.87
1.535227,-0.1275,0.6613,0.4422,0.81
1.567841,-0.2726,1.0828,0.0537,1.12
1.586108,-0.2907,1.4478,-0.0166,1.48
1.607041,-0.1094,1.5553,-0.0059,1.56
1.618368,0.1432,1.4050,0.0794,1.41
1.638132,0.4676,1.0090,0.1871,1.13
1.669294,0.3159,0.7942,0.2956,0.90
1.685641,0.1476,0.9699,0.2516,1.01
1.706614,0.1024,1.1917,0.1094,1.20
1.718774,0.0156,1.2416,0.0447,1.24
1.735862,-0.0765,1.1612,0.0823,1.17
1.769152,0.0410,0.8827,0.3542,0.95
1.785728,0.0611,0.8133,0.3103,0.87
1.808702,0.1138,0.8495,0.2150,0.88
1.821463,0.1341,0.9015,0.1329,0.92
1.852960,0.0818,0.9403,0.0139,0.94
1.870090,0.0271,0.8946,-0.0042,0.90
1.886355,-0.0586,0.8795,0.0589,0.88
1.906642,-0.0708,0.8592,0.1209,0.87
1.918375,-0.0550,0.8485,0.1886,0.87
1.953866,0.0222,0.7146,0.2389,0.75
1.969177,0.0291,0.7102,0.2018,0.74
1.992470,-0.1200,0.7271,0.1818,0.76
2.003716,-0.1994,0.7388,0.2121,0.79
2.019196,-0.1732,0.7310,0.2218,0.78
2.053278,0.1542,0.7600,0.2949,0.83
2.070451,0.1595,0.9843,0.1439,1.01
2.092708,0.0916,1.1016,0.0806,1.11
2.102971,0.0938,1.0425,0.2091,1.07
2.120068,0.0999,0.8018,0.4698,0.93
2.141911,0.1595,0.7354,0.4278,0.87
2.171032,0.2138,1.1045,0.0330,1.13
2.187850,0.1830,1.0864,0.1363,1.11
2.209986,0.1498,1.0258,0.5170,1.16
2.237049,0.0591,1.3141,0.1363,1.32
2.253289,-0.0022,1.2086,-0.0923,1.21
2.271872,0.0838,0.9882,-0.3210,1.04
2.287225,0.0569,1.0720,-0.2016,1.09
2.308210,0.1380,1.2699,0.1134,1.28
2.336961,0.3110,1.5211,0.2042,1.57
2.354565,0.2817,1.4998,0.1158,1.53
2.371430,0.3203,1.2225,0.2279,1.28
2.392743,0.2614,0.9831,0.2536,1.05
2.404639,0.2717,1.0586,0.2927,1.13
2.438663,0.0948,1.1790,0.2038,1.20
2.455440,0.0410,1.0698,0.2047,1.09
2.472399,0.0635,0.9582,0.2697,1.00
2.492126,0.1173,0.9384,0.2729,0.98
2.504676,0.1234,0.9626,0.2453,1.00
2.537413,0.0836,0.9748,0.1632,0.99
2.556127,0.0650,0.9166,0.1461,0.93
2.571438,0.0718,0.8966,0.1815,0.92
2.594176,0.0989,0.8973,0.1266,0.91
2.607494,0.1051,0.8819,0.0533,0.89
2.642500,0.1510,0.8038,0.0765,0.82
2.654409,0.1278,0.7974,0.0855,0.81
2.671120,0.1454,0.8072,0.2001,0.84
2.692284,0.2348,0.7788,0.3401,0.88
2.705357,0.2399,0.7676,0.3288,0.87
2.739127,0.2411,0.7571,0.2355,0.83
2.755331,0.2299,0.7341,0.1845,0.79
2.773826,0.1864,0.8316,0.2345,0.88
2.789175,0.1231,0.8866,0.1991,0.92
2.810793,-0.0318,0.8900,0.0970,0.90
2.838696,-0.0594,0.8688,0.0513,0.87
2.856728,0.0354,0.9679,0.1202,0.98
2.873997,0.1432,0.9816,0.1774,1.01
2.894125,0.1412,0.9064,0.2714,0.96
2.912485,0.0865,0.8145,0.3916,0.91
