time,gFx,gFy,gFz,TgF
0.003105,-0.0760,1.0168,-0.0623,1.02
0.037044,-0.1024,0.9995,-0.0562,1.01
0.038256,-0.1033,0.9999,-0.0545,1.01
0.061357,-0.1021,1.0058,-0.0440,1.01
0.078709,-0.0923,1.0046,-0.0423,1.01
0.095395,-0.0897,1.0024,-0.0537,1.01
0.131075,-0.0894,1.0021,-0.0440,1.01
0.145419,-0.0931,1.0070,-0.0452,1.01
0.161812,-0.0923,1.0034,-0.0476,1.01
0.178845,-0.0941,1.0017,-0.0577,1.01
0.214949,-0.0914,1.0175,-0.0425,1.02
0.228976,-0.0909,1.0117,-0.0432,1.02
0.245475,-0.0892,1.0080,-0.0537,1.01
0.262717,-0.0811,0.9995,-0.0672,1.00
0.279187,-0.0833,0.9960,-0.0708,1.00
0.315245,-0.0816,0.9914,-0.0652,1.00
0.329201,-0.0806,0.9902,-0.0579,1.00
0.345685,-0.0755,0.9863,-0.0555,0.99
0.362958,-0.0704,0.9880,-0.0552,0.99
0.379053,-0.0765,0.9970,-0.0567,1.00
0.412987,-0.1573,0.9887,-0.0765,1.00
0.432280,-0.1407,0.9635,-0.0586,0.98
0.446738,-0.1434,0.9442,-0.0513,0.96
0.463016,-0.1422,0.9469,-0.0354,0.96
0.479683,-0.1534,0.9599,-0.0291,0.97
0.513339,-0.2081,0.9943,-0.0222,1.02
0.532726,-0.1967,1.0205,-0.0095,1.04
0.547528,-0.1581,1.0356,-0.0068,1.05
0.563278,-0.0904,1.0393,-0.0139,1.04
0.580225,-0.0330,1.0324,-0.0239,1.03
0.614538,-0.0410,1.0078,-0.0508,1.01
0.636154,-0.0916,0.9946,-0.0774,1.00
0.650123,-0.1261,0.9890,-0.0963,1.00
0.663820,-0.1669,0.9799,-0.1195,1.00
0.681193,-0.1867,0.9836,-0.1112,1.01
0.713444,-0.1634,0.9929,-0.0713,1.01
0.735549,-0.1187,0.9890,-0.0796,1.00
0.746355,-0.0860,0.9948,-0.0833,1.00
0.764953,-0.0506,0.9970,-0.0848,1.00
0.797860,-0.0098,0.9452,-0.1055,0.95
0.815378,-0.0081,0.9240,-0.1092,0.93
0.846144,-0.0354,0.9296,-0.0867,0.93
0.854007,-0.0474,0.9276,-0.0887,0.93
0.865487,-0.0594,0.9088,-0.0870,0.91
0.882464,-0.0674,0.8568,-0.0730,0.86
0.916502,-0.0850,0.7227,0.0308,0.73
0.936894,-0.1009,0.7600,0.1380,0.78
0.948148,-0.1053,0.8214,0.1642,0.84
0.965211,-0.1097,0.9161,0.0901,0.93
0.999055,-0.0525,0.9916,-0.1280,1.00
1.016510,-0.0349,0.9929,-0.1749,1.01
1.035635,-0.0530,0.9518,-0.1361,0.96
1.049366,-0.0689,0.9027,-0.0630,0.91
1.068655,-0.0875,0.8414,0.0457,0.85
1.099005,-0.1297,0.8734,0.0897,0.89
1.115554,-0.1571,0.9022,0.0691,0.92
1.134944,-0.1583,0.8761,0.0183,0.89
1.148558,-0.1544,0.8226,0.0506,0.84
1.165682,-0.1485,0.7806,0.0875,0.80
1.199577,-0.0261,1.0007,0.0589,1.00
1.220239,0.1070,1.2374,-0.2768,1.27
1.233420,0.1295,1.3615,-0.5441,1.47
1.249440,0.1356,1.5193,-0.8399,1.74
1.266729,0.1581,1.5531,-0.8101,1.76
1.300102,0.1307,1.3930,0.0325,1.40
1.321443,0.0359,1.3576,0.3130,1.39
1.333032,0.0396,1.3241,0.1659,1.34
1.353898,0.1266,1.2423,-0.2030,1.27
1.383529,0.2201,1.1954,-0.4346,1.29
1.400931,0.1473,1.0964,-0.3819,1.17
1.423778,0.0027,0.9386,-0.1270,0.95
1.435049,-0.0354,0.8592,-0.0017,0.86
1.449941,-0.0330,0.7869,0.0789,0.79
1.483456,0.0806,0.7239,-0.0027,0.73
1.501132,0.1148,0.7512,-0.0862,0.76
1.518207,0.1334,0.7806,-0.1473,0.81
1.538518,0.1187,0.8184,-0.1859,0.85
1.550451,0.1046,0.8267,-0.1818,0.85
1.584220,0.0513,0.8253,-0.0955,0.83
1.601493,0.0491,0.7994,-0.0677,0.80
1.618389,0.0430,0.7723,-0.0643,0.78
1.641349,0.0347,0.7820,-0.0379,0.78
1.667423,0.0134,0.7686,-0.0633,0.77
1.685155,0.0088,0.7852,-0.1060,0.79
1.702993,0.0933,0.8903,-0.1004,0.90
1.718924,0.1972,1.0349,-0.0652,1.06
1.741181,0.2709,1.1382,-0.0181,1.17
1.755142,0.1725,1.0368,-0.0315,1.05
1.786402,-0.2783,0.6748,-0.2235,0.76
1.801638,-0.3772,0.6623,-0.3149,0.82
1.823468,-0.4859,0.8670,-0.4307,1.08
1.835815,-0.4896,1.0234,-0.4112,1.21
1.869730,0.1888,1.2968,-0.2006,1.33
1.885799,0.3418,1.3630,-0.1842,1.42
1.903068,0.2358,1.3935,-0.3472,1.46
1.923021,-0.1131,1.4727,-0.3230,1.51
1.934801,-0.3017,1.5509,-0.1578,1.59
1.969112,-0.5299,1.4685,-0.0467,1.56
1.986127,-0.2763,1.3210,-0.1400,1.36
2.003620,0.0235,1.1272,-0.2990,1.17
2.020252,0.2023,0.9543,-0.4058,1.06
2.042008,0.1998,0.8497,-0.2861,0.92
2.057606,0.0484,0.8272,-0.1129,0.84
2.085638,-0.2223,0.8113,0.0498,0.84
2.104453,-0.1989,0.7092,-0.0386,0.74
2.120399,-0.0901,0.5946,-0.1082,0.61
2.141767,-0.0064,0.5121,-0.1043,0.52
2.170117,0.0291,0.6005,0.0159,0.60
2.186104,-0.0120,0.7236,-0.0076,0.72
2.203869,-0.0865,0.8666,-0.0794,0.87
2.219745,-0.1456,0.9110,-0.1583,0.94
2.242955,-0.1945,0.8309,-0.1324,0.86
2.270107,-0.1788,0.7495,0.0139,0.77
2.287047,-0.1187,0.7840,0.0564,0.79
2.304219,-0.0643,0.8270,0.0254,0.83
2.320367,-0.0401,0.7862,-0.1881,0.81
2.342009,0.1085,0.8089,-0.3672,0.89
2.370647,0.3623,1.2235,-0.3330,1.32
2.387450,0.4385,1.5369,-0.1849,1.61
2.403874,0.2372,1.7412,0.0235,1.76
2.426823,-0.1043,1.7172,-0.2634,1.74
2.453539,-0.2621,1.5257,-0.6230,1.67
2.471087,0.0506,1.4727,-0.4869,1.55
2.488724,0.3589,1.3649,-0.3005,1.44
2.503847,0.4373,1.2325,-0.1471,1.32
2.525483,0.3777,1.0246,-0.0117,1.09
2.553929,0.1735,0.8707,0.0127,0.89
2.571441,0.0318,0.8302,0.0413,0.83
2.588524,-0.0789,0.8072,0.0332,0.81
2.605549,-0.1275,0.8150,-0.0139,0.83
2.642135,-0.0098,0.9269,-0.2118,0.95
2.656440,0.0222,0.9423,-0.2648,0.98
2.671433,0.0591,0.9247,-0.2279,0.95
2.687681,0.0330,0.8487,-0.2355,0.88
2.706465,0.0674,0.8231,-0.1371,0.84
2.742935,0.1033,0.8407,-0.0542,0.85
2.757522,0.0752,0.7815,-0.1226,0.79
2.771141,0.0569,0.7422,-0.1554,0.76
2.788788,0.0718,0.7007,-0.1182,0.71
2.805385,0.0733,0.6389,-0.0567,0.65
2.827423,0.0005,0.5626,0.0435,0.56
2.856209,-0.2006,0.4979,-0.0716,0.54
2.871965,-0.3051,0.5399,-0.2133,0.66
2.889667,-0.2802,0.7136,-0.2890,0.82
2.907289,-0.0142,0.9416,-0.2541,0.98
2.943624,0.1266,1.3183,-0.1556,1.33
2.959867,-0.0589,1.6525,-0.2419,1.67
2.971879,-0.2968,1.9100,-0.4151,1.98
3.005816,-0.3305,1.7324,-0.8038,1.94
3.023388,-0.0997,1.4331,-0.5177,1.53
3.044717,-0.0281,1.2650,-0.1107,1.27
3.058434,-0.0606,1.2057,0.0867,1.21
3.074859,-0.0198,1.1763,0.2221,1.20
3.091357,0.0213,1.1216,0.1305,1.13
3.126930,-0.0313,1.0051,-0.3731,1.07
3.142611,-0.0711,0.9511,-0.4092,1.04
3.156358,-0.0630,0.8839,-0.2907,0.93
3.174274,-0.0183,0.7715,-0.0726,0.78
3.207309,0.0244,0.6147,0.1307,0.63
3.224615,-0.0315,0.6457,0.0577,0.65
3.244509,-0.1019,0.7466,-0.0672,0.76
3.258316,-0.1124,0.7769,-0.1278,0.80
3.273554,-0.1170,0.7622,-0.1539,0.79
3.307255,-0.1261,0.7532,-0.1033,0.77
3.323558,-0.1669,0.7784,-0.0437,0.80
3.355449,-0.1779,0.7913,0.0357,0.81
3.372278,-0.0933,0.8604,0.0647,0.87
3.396627,0.0535,1.0046,-0.0994,1.01
3.397480,0.0535,1.0046,-0.0994,1.01
3.425557,0.2524,1.0811,-0.4051,1.18
3.440884,0.0936,1.1751,-0.5370,1.30
3.456843,0.0046,1.3684,-0.6091,1.50
3.491441,0.0774,1.5047,-0.4898,1.58
3.507323,0.0591,1.4903,-0.2582,1.51
3.524629,0.0838,1.4221,-0.1429,1.43
3.546635,0.0608,1.3618,-0.2656,1.39
3.558417,0.1082,1.3014,-0.3051,1.34
3.591781,0.1928,1.1272,-0.3183,1.19
3.607560,0.1251,1.0271,-0.2619,1.07
3.625532,0.0337,0.9289,-0.1779,0.95
