time,gFx,gFy,gFz,TgF
0.002826,-0.0518,0.9980,0.2001,1.02
0.011847,-0.0774,0.9838,0.2560,1.02
0.034567,-0.0672,0.9587,0.2639,1.00
0.060989,-0.0044,0.9689,0.2191,0.99
0.077092,0.0117,0.9831,0.2128,1.01
0.094042,-0.0115,0.9936,0.2052,1.01
0.110621,-0.0364,0.9909,0.2089,1.01
0.130174,-0.0398,0.9804,0.2138,1.00
0.161200,-0.0166,0.9794,0.2279,1.01
0.177229,-0.0132,0.9758,0.2152,1.00
0.194370,0.0173,0.9904,0.2213,1.01
0.211010,-0.0169,0.9809,0.2182,1.01
0.230857,-0.0369,0.9797,0.2260,1.01
0.260907,-0.0173,0.9799,0.2174,1.00
0.278095,-0.0027,0.9767,0.1974,1.00
0.295168,0.0002,0.9750,0.1915,0.99
0.311154,-0.0103,0.9728,0.1984,0.99
0.345058,-0.0357,0.9787,0.2194,1.00
0.361249,-0.0472,0.9799,0.2108,1.00
0.378494,-0.0472,0.9833,0.1976,1.00
0.395188,-0.0425,0.9921,0.1959,1.01
0.431879,-0.0296,0.9799,0.2157,1.00
0.444744,-0.0198,0.9731,0.2187,1.00
0.461426,-0.0051,0.9694,0.2231,0.99
0.478850,-0.0024,0.9821,0.2226,1.01
0.495524,-0.0188,0.9970,0.2111,1.02
0.515860,-0.0459,0.9992,0.1867,1.02
0.545371,-0.0481,0.9743,0.1957,0.99
0.562656,-0.0486,0.9687,0.2016,0.99
0.579462,-0.0462,0.9784,0.1837,1.00
0.596813,-0.0457,0.9811,0.1681,1.00
0.633397,-0.0496,0.9870,0.1849,1.01
0.645504,-0.0484,0.9929,0.1688,1.01
0.662965,-0.0235,0.9975,0.1527,1.01
0.683762,0.0022,0.9931,0.1583,1.01
0.697010,0.0007,0.9892,0.1500,1.00
0.735736,-0.0332,0.9870,0.1529,1.00
0.746411,-0.0408,0.9877,0.1713,1.00
0.763971,-0.0542,0.9880,0.1805,1.01
0.779978,-0.0621,0.9731,0.1847,0.99
0.797346,-0.0655,0.9784,0.1698,1.00
0.836672,-0.0525,1.0300,0.1571,1.04
0.847192,-0.0450,1.0236,0.1537,1.04
0.863500,-0.0364,0.9977,0.1586,1.01
0.881099,-0.0459,0.9606,0.1735,0.98
0.897639,-0.0860,0.9374,0.1893,0.96
0.936967,-0.1717,0.9203,0.1598,0.95
0.947408,-0.1722,0.9125,0.1630,0.94
0.965278,-0.1798,0.9154,0.1652,0.95
0.982187,-0.1700,0.9526,0.1546,0.98
0.998120,-0.1478,0.9987,0.1754,1.02
1.019120,-0.0828,1.0632,0.2003,1.09
1.047078,-0.0423,1.0952,0.2121,1.12
1.063866,-0.0696,1.0620,0.2150,1.09
1.080425,-0.0989,1.0109,0.2248,1.04
1.118500,-0.0985,0.9357,0.2118,0.96
1.131158,-0.0916,0.9267,0.2047,0.95
1.147617,-0.0828,0.9242,0.2020,0.95
1.164451,-0.0848,0.9245,0.2077,0.95
