time,gFx,gFy,gFz,TgF
4.008489,-0.042,-0.2399,1.1436,1.17
4.025804,-0.0667,-0.1986,1.0141,1.04
4.04273,-0.0689,-0.1241,0.9491,0.96
4.059592,-0.0489,-0.0403,0.9142,0.92
4.080069,-0.0625,-0.0618,0.9369,0.94
4.110323,-0.0347,-0.1471,0.8854,0.9
4.126639,0.0313,-0.1356,0.9372,0.95
4.142004,0.0359,-0.1766,0.9325,0.95
4.164877,0.0296,-0.2169,1.0432,1.07
4.19216,0.0413,-0.1412,1.094,1.1
4.210432,0.0511,-0.0401,0.9951,1
4.226617,0.0203,0.0076,0.9709,0.97
4.244016,-0.0117,-0.0445,0.9623,0.96
4.260221,-0.034,-0.0948,1.0163,1.02
4.281289,-0.0354,-0.0821,1.0476,1.05
4.30989,-0.0235,-0.0149,0.9584,0.96
4.326106,-0.0225,-0.0222,0.9081,0.91
4.344296,-0.053,-0.0779,0.9689,0.97
4.38281,-0.0183,0.031,0.9372,0.94
4.383844,-0.0178,0.0384,0.934,0.93
4.410397,-0.0596,0.0916,0.9328,0.94
4.42637,-0.1112,0.0261,0.953,0.96
4.444303,-0.1163,-0.0191,1.0122,1.02
4.482621,-0.0481,-0.0423,1.0202,1.02
4.495127,-0.0105,-0.0191,1.0058,1.01
4.510381,-0.075,-0.0542,0.8961,0.9
4.527063,-0.1356,-0.107,0.8922,0.91
4.54536,-0.1168,-0.1691,1.0713,1.09
4.583567,-0.021,-0.2226,1.0109,1.04
4.595606,-0.0024,-0.1622,0.9897,1
4.611271,-0.021,-0.1256,0.9907,1
4.627946,0.0007,-0.1165,0.999,1.01
4.644975,0.0276,-0.1165,1.0148,1.02
4.683739,0.1285,0,0.8973,0.91
4.696357,0.1598,0.0149,0.9264,0.94
4.711158,0.1094,-0.009,0.9833,0.99
4.728699,0.0818,-0.0447,1.0041,1.01
4.745088,0.0774,-0.0472,0.9828,0.99
4.766623,0.0628,-0.043,0.9569,0.96
4.794326,0.0584,-0.084,0.9904,1
4.81203,0.0726,-0.0872,0.9721,0.98
4.82866,0.0985,-0.0889,0.9682,0.98
4.864557,0.0889,-0.0884,0.9523,0.96
4.877794,0.0828,-0.0963,0.9635,0.97
4.894472,0.0843,-0.0975,0.9836,0.99
4.912076,0.0772,-0.0831,0.9711,0.98
4.928989,0.0625,-0.0826,0.9821,0.99
