time,gFx,gFy,gFz,TgF
0.003589,0.0420,1.0070,-0.0613,1.01
0.011272,0.0474,1.0043,-0.0613,1.01
0.035793,0.0613,0.9975,-0.0567,1.00
0.061029,0.0711,0.9941,-0.0491,1.00
0.077281,0.0706,0.9948,-0.0430,1.00
0.096245,0.0716,0.9975,-0.0415,1.00
0.110463,0.0625,1.0073,-0.0474,1.01
0.143855,0.0567,1.0024,-0.0511,1.01
0.160393,0.0647,1.0134,-0.0628,1.02
0.179875,0.0740,1.0190,-0.0777,1.02
0.193773,0.0643,1.0200,-0.0811,1.03
0.227727,0.0682,1.0017,-0.0518,1.01
0.243967,0.0638,0.9831,-0.0391,0.99
0.261091,0.0525,0.9806,-0.0322,0.98
0.277817,0.0423,0.9887,-0.0313,0.99
0.296979,0.0493,0.9943,-0.0643,1.00
0.327679,0.0687,1.0144,-0.0928,1.02
0.344353,0.0750,1.0168,-0.0760,1.02
0.361410,0.0853,1.0087,-0.0489,1.01
0.377681,0.0867,0.9970,-0.0340,1.00
0.397692,0.0823,0.9892,-0.0410,0.99
0.427742,0.0777,0.9826,-0.0484,0.99
0.444592,0.0738,0.9860,-0.0384,0.99
0.461830,0.0674,0.9921,-0.0342,1.00
0.477862,0.0667,0.9982,-0.0388,1.00
0.497595,0.0650,1.0039,-0.0550,1.01
0.528093,0.0792,1.0148,-0.0540,1.02
0.546112,0.0833,1.0180,-0.0479,1.02
0.562937,0.0735,1.0129,-0.0535,1.02
0.584600,0.0623,1.0029,-0.0789,1.01
0.600851,0.0352,1.0009,-0.1068,1.01
0.628818,0.0161,0.9799,-0.1554,0.99
0.645935,0.0166,0.9721,-0.1705,0.99
0.662568,0.0144,0.9806,-0.1542,0.99
0.686118,0.0002,1.0004,-0.0723,1.00
0.712616,0.0022,1.0048,0.0154,1.00
0.729349,0.0071,1.0039,0.0396,1.00
0.746767,-0.0029,1.0207,0.0298,1.02
0.763190,0.0022,1.0583,0.0159,1.06
0.785366,0.0178,1.0977,-0.0139,1.10
0.812596,0.0667,1.0891,-0.0572,1.09
0.830662,0.1007,1.0754,-0.0840,1.08
0.846092,0.0684,1.0302,-0.0928,1.04
0.863725,-0.0015,0.9477,-0.0901,0.95
0.903728,-0.0777,0.9093,0.0247,0.91
0.904348,-0.0777,0.9093,0.0247,0.91
0.930216,-0.0594,0.9430,0.0833,0.95
0.946762,-0.0252,0.9582,0.0591,0.96
0.964375,0.0156,0.9733,-0.0056,0.97
0.983941,0.0342,0.9921,-0.0748,1.00
1.014004,0.0095,1.0390,-0.1026,1.04
1.030711,0.0034,1.0483,-0.0774,1.05
1.047747,0.0088,1.0451,-0.0235,1.05
1.068983,0.0254,0.9982,0.0708,1.00
1.102536,0.0388,0.9499,0.1158,0.96
1.119492,0.0161,0.9540,0.0870,0.96
1.130778,-0.0081,0.9555,0.0682,0.96
1.148247,-0.0684,0.9550,0.0379,0.96
1.164462,-0.1082,0.9245,0.0266,0.93
1.196649,-0.0042,0.8096,0.0049,0.81
1.217233,0.0909,0.8079,-0.0410,0.81
1.231337,0.1092,0.7918,-0.0740,0.80
1.247974,0.1138,0.7461,-0.0948,0.76
1.285692,0.0716,0.6350,0.0054,0.64
1.298479,0.0210,0.6144,0.0577,0.62
1.314270,-0.0755,0.6364,0.1273,0.65
1.331788,-0.1583,0.7082,0.1837,0.75
1.348448,-0.1893,0.7725,0.1918,0.82
1.386898,-0.0701,0.7766,0.0875,0.78
1.399686,0.0042,0.7801,0.0943,0.79
1.415653,0.0479,0.9179,0.1410,0.93
1.431807,0.0752,1.2450,0.2123,1.27
1.448327,0.0210,1.5105,0.1331,1.52
1.482845,0.3833,1.3552,-0.4933,1.49
1.502674,0.6667,1.4092,-0.4722,1.63
1.519131,0.5771,1.5648,-0.5402,1.75
1.532052,0.5028,1.8128,-0.5292,1.95
1.549718,0.3904,1.8682,-0.5519,1.99
1.583029,0.0159,1.3681,-0.3340,1.41
1.605801,-0.0899,1.0520,0.1314,1.06
1.618201,-0.0730,0.9262,0.2858,0.97
1.632654,0.0249,0.8228,0.3435,0.89
1.649695,0.1583,0.7654,0.2189,0.81
1.687516,0.2758,0.8182,-0.2800,0.91
1.704673,0.2331,0.8424,-0.3450,0.94
1.719952,0.1493,0.8560,-0.2888,0.92
