time,gFx,gFy,gFz,TgF
0.003300,0.0388,1.0146,0.0327,1.02
0.012047,0.0340,0.9982,0.0691,1.00
0.030060,0.0279,0.9780,0.1226,0.99
0.046514,0.0564,0.9880,0.1341,1.00
0.077003,0.0572,1.0102,0.0755,1.01
0.094009,0.0384,0.9997,0.0584,1.00
0.110671,0.0450,0.9958,0.0792,1.00
0.130259,0.0498,1.0009,0.1002,1.01
0.160965,0.0364,1.0070,0.0618,1.01
0.177214,0.0364,1.0087,0.0816,1.01
0.194444,0.0437,1.0026,0.0858,1.01
0.210704,0.0479,0.9943,0.0630,1.00
0.230585,0.0484,0.9958,0.0650,1.00
0.260814,0.0408,1.0029,0.0914,1.01
0.278247,0.0401,0.9977,0.0845,1.00
0.294688,0.0423,0.9955,0.0669,1.00
0.311144,0.0340,1.0070,0.0501,1.01
0.331116,-0.0051,1.0124,0.0261,1.01
0.361241,-0.0699,0.9804,0.0007,0.98
0.378545,-0.0623,0.9633,0.0078,0.97
0.394937,-0.0225,0.9645,-0.0007,0.96
0.411361,0.0274,0.9638,0.0188,0.96
0.431730,0.0821,0.9635,0.1280,0.98
0.461357,0.0831,0.9897,0.1578,1.01
0.478160,0.0953,1.0085,0.1349,1.02
0.494871,0.1190,1.0078,0.0804,1.02
0.512171,0.1248,0.9951,0.0515,1.00
0.531434,0.0948,1.0056,0.0552,1.01
0.561795,0.0584,1.0302,0.0327,1.03
0.579289,0.0357,1.0351,0.0300,1.04
0.596710,0.0244,1.0356,0.0252,1.04
0.614206,0.0364,1.0075,0.0115,1.01
0.650502,0.0435,0.9638,0.0428,0.97
0.664489,0.0589,0.9609,0.0474,0.96
0.678882,0.0694,0.9753,0.0257,0.98
0.696654,0.0633,1.0073,-0.0303,1.01
0.713928,0.0591,1.0095,-0.0904,1.02
0.733178,0.0701,0.9821,-0.0782,0.99
0.763812,0.0987,0.9574,-0.0650,0.96
0.780325,0.0630,0.9819,-0.1148,0.99
0.797865,0.0457,1.0278,-0.1732,1.04
0.813986,0.0452,1.0935,-0.2074,1.11
0.834594,0.0261,1.0298,-0.1590,1.04
0.863166,0.0376,0.9042,0.1529,0.92
0.880788,0.0423,0.8710,0.1280,0.88
0.897527,0.0239,0.8773,0.0044,0.88
0.914048,0.0330,0.9540,-0.0694,0.96
0.934979,0.0481,0.9530,-0.1153,0.96
0.963603,0.0748,0.8455,0.0406,0.85
0.981218,0.0845,0.8236,0.0398,0.83
0.997501,0.0865,0.8746,-0.0496,0.88
1.031673,0.0601,0.8732,-0.1309,0.88
1.052488,0.0840,0.7754,-0.0638,0.78
1.067152,0.0943,0.7708,-0.0413,0.78
1.081219,0.1114,0.7815,-0.0826,0.79
1.098594,0.1060,0.8150,-0.1353,0.83
1.131589,0.0799,0.8184,-0.1698,0.84
1.152204,0.1107,0.8170,-0.1825,0.84
1.169869,0.1270,0.7803,-0.2025,0.82
1.181800,0.1082,0.7639,-0.2162,0.80
1.215811,0.0877,0.8595,-0.2250,0.89
1.231705,0.0674,0.8463,-0.2096,0.87
1.255082,0.0376,0.7070,-0.1261,0.72
1.271380,0.0408,0.7290,-0.0520,0.73
1.281944,0.0523,0.7945,-0.0906,0.80
1.315262,0.1302,0.9987,-0.3779,1.08
1.333696,0.1906,0.9611,-0.3875,1.05
1.353560,0.1554,0.9262,-0.2563,0.97
1.366645,0.1251,0.9298,-0.2248,0.96
1.381754,0.1532,0.9511,-0.2660,1.00
1.401124,0.2682,0.9589,-0.3550,1.06
1.433176,0.2939,1.0090,-0.3877,1.12
1.452983,0.1070,1.0070,-0.4060,1.09
1.468515,0.0027,0.9897,-0.3283,1.04
1.482176,0.0335,0.9855,-0.3821,1.06
1.515632,0.2353,1.0725,-0.5272,1.22
1.533733,0.1578,1.0784,-0.4669,1.19
1.555725,0.1192,1.0363,-0.4842,1.15
1.569774,0.1715,1.0214,-0.5739,1.18
1.582995,0.2155,1.0344,-0.5472,1.19
1.617027,0.2191,1.0684,-0.5126,1.21
1.633753,0.2003,1.1270,-0.5749,1.28
1.666154,0.2287,1.1070,-0.5607,1.26
1.673130,0.2301,1.0583,-0.4683,1.18
1.699797,0.1341,1.0390,-0.3335,1.10
1.718199,0.1224,1.1392,-0.3271,1.19
1.734918,0.1080,1.3312,-0.3662,1.38
1.755357,0.1124,1.4504,-0.3447,1.50
1.771657,0.1617,1.3688,-0.2465,1.40
1.807415,0.1581,1.2291,-0.1608,1.25
1.808216,0.1505,1.2408,-0.1598,1.26
1.837316,0.1036,1.3219,-0.0569,1.33
1.855103,0.1090,1.2176,-0.0159,1.22
1.869622,0.0999,1.1184,-0.0034,1.12
1.900971,0.0904,0.9643,0.0435,0.97
1.917620,0.0540,0.9301,0.0784,0.93
1.934910,0.0386,0.8612,0.0831,0.87
1.954915,0.0472,0.8131,0.1082,0.82
1.967502,0.0501,0.8165,0.1038,0.82
2.001128,-0.0083,0.8854,0.0330,0.89
2.018006,-0.0315,0.8805,0.0518,0.88
2.053349,0.0012,0.8389,0.1947,0.86
2.053707,0.0076,0.8397,0.1991,0.86
2.071560,0.0792,0.8832,0.2011,0.91
2.100640,0.0953,1.0288,-0.0171,1.03
2.117729,0.1077,1.0811,-0.0914,1.09
2.138978,0.0699,1.0847,0.1002,1.09
2.152513,0.0733,1.0427,0.2692,1.08
2.168590,0.0708,0.9968,0.3552,1.06
2.202246,0.0200,1.1055,0.1590,1.12
2.219270,0.0132,1.1514,0.0774,1.15
2.236637,0.0432,1.0801,0.2370,1.11
2.256777,0.0901,0.9396,0.4727,1.06
2.273058,0.0542,0.9139,0.3924,1.00
2.302015,0.0227,1.0456,0.1170,1.05
2.319153,0.0257,1.0381,0.1204,1.05
2.336696,-0.0169,0.9074,0.3142,0.96
2.357718,-0.0650,0.8243,0.3723,0.91
2.385955,0.0581,0.9635,0.1691,0.98
2.402131,0.1485,1.0591,0.0156,1.07
2.419659,0.1879,1.0801,0.0481,1.10
2.439340,0.1292,0.9633,0.2077,0.99
2.452017,0.1121,0.9032,0.3039,0.96
2.485825,0.0865,0.9523,0.2086,0.98
2.503063,0.0870,0.9921,0.1395,1.01
2.520751,0.0691,0.9977,0.1766,1.02
2.536747,0.0877,0.9557,0.2463,0.99
2.557852,0.1158,0.9401,0.2577,0.98
2.574961,0.0630,1.0029,0.1708,1.02
2.604053,0.0205,1.0649,0.0603,1.07
2.620959,0.0396,1.0403,0.1073,1.05
2.639840,0.0403,0.9819,0.1930,1.00
2.654604,0.0501,0.9406,0.2915,0.99
2.687901,0.0503,0.9174,0.2949,0.96
2.703913,0.0506,0.9609,0.2216,0.99
2.720572,0.0577,0.9999,0.1478,1.01
2.742282,0.0579,1.0464,0.0584,1.05
2.755601,0.0445,1.0520,0.0545,1.05
2.788468,0.0217,0.9826,0.1845,1.00
2.804225,0.0252,0.9618,0.2201,0.99
2.824611,0.0308,0.9504,0.1972,0.97
2.837685,0.0325,0.9572,0.1854,0.98
2.861605,0.0469,0.9714,0.1827,0.99
2.887465,0.0542,0.9946,0.1468,1.01
2.903622,0.0694,1.0097,0.1600,1.02
2.921594,0.0669,1.0090,0.1534,1.02
2.937894,0.0550,1.0175,0.1231,1.03
2.958018,0.0423,0.9875,0.1605,1.00
2.988093,0.0428,0.9743,0.2074,1.00
3.005206,0.0498,0.9860,0.1801,1.00
