time,gFx,gFy,gFz,TgF
0.010910,-0.0413,1.0105,0.0459,1.01
0.044341,-0.0129,1.0148,0.0611,1.02
0.063706,-0.0112,1.0195,0.0406,1.02
0.077176,-0.0120,1.0136,0.0450,1.01
0.094357,-0.0169,1.0078,0.0489,1.01
0.111118,0.0039,1.0063,0.0242,1.01
0.147052,-0.0220,1.0178,0.0589,1.02
0.160814,-0.0327,1.0329,0.0855,1.04
0.177881,-0.0672,1.0122,0.0391,1.02
0.194650,-0.0171,0.9958,0.0059,1.00
0.227953,0.0315,1.0024,0.0264,1.00
0.244893,0.0183,0.9995,0.0235,1.00
0.264199,-0.0005,0.9953,0.0073,1.00
0.278306,-0.0156,0.9977,0.0056,1.00
0.295050,-0.0305,1.0021,0.0137,1.00
0.328369,-0.0073,0.9770,0.0188,0.98
0.345242,-0.0024,0.9714,0.0259,0.97
0.364839,-0.0042,0.9753,0.0249,0.98
0.378858,-0.0154,0.9826,0.0222,0.98
0.394756,-0.0276,0.9938,0.0217,0.99
0.428913,-0.0454,0.9919,0.0286,0.99
0.448527,-0.0310,0.9926,0.0237,0.99
0.462153,-0.0193,0.9980,0.0183,1.00
0.478627,-0.0005,1.0109,0.0154,1.01
0.495514,0.0086,1.0283,0.0022,1.03
0.529656,0.0388,1.0427,-0.0816,1.05
0.551805,0.0679,1.0261,-0.1163,1.03
0.563749,0.0860,0.9890,-0.1192,1.00
0.579405,0.1141,0.9252,-0.1246,0.94
0.613677,0.2052,0.8109,-0.0635,0.84
0.630784,0.2199,0.8766,0.0608,0.91
0.647146,0.2008,1.0068,0.1852,1.04
0.669056,0.0997,1.1580,0.1603,1.17
0.685245,0.0340,1.1766,-0.0315,1.18
0.701364,0.0225,1.1587,-0.1937,1.18
0.730622,0.1297,1.1409,-0.1932,1.16
0.746428,0.1928,1.1001,-0.0845,1.12
0.766304,0.2296,0.9882,0.0024,1.01
0.780436,0.2213,0.9291,0.0464,0.96
0.813657,0.1427,0.8866,0.0884,0.90
0.831111,0.0718,0.9115,0.0630,0.92
0.852551,0.0418,0.9618,0.0093,0.96
0.863781,0.0354,0.9770,-0.0112,0.98
0.881425,0.0286,0.9736,-0.0496,0.98
0.914535,0.0713,0.9486,-0.1055,0.96
0.931888,0.0967,0.9616,-0.0838,0.97
0.951965,0.1246,0.9723,-0.0462,0.98
0.965948,0.1400,0.9672,-0.0447,0.98
0.981813,0.1454,0.9518,-0.0406,0.96
1.015888,0.1952,0.9767,-0.0037,1.00
1.031878,0.2318,1.0068,-0.0103,1.03
1.054940,0.2861,1.0583,-0.0151,1.10
1.068662,0.2973,1.1079,0.0007,1.15
1.083150,0.2758,1.1583,0.0166,1.19
1.115288,0.1835,1.2736,0.0076,1.29
1.131733,0.1598,1.3107,-0.0313,1.32
1.153290,0.1942,1.3559,-0.0880,1.37
