time,gFx,gFy,gFz,TgF
4.026364,0.0408,-0.0418,0.9933,1
4.044356,0.0376,-0.0374,0.9892,0.99
4.081479,0.0445,-0.0349,0.9841,0.99
4.093416,0.0447,-0.0374,0.9875,0.99
4.109107,0.044,-0.0386,0.9819,0.98
4.130535,0.0413,-0.0388,0.9755,0.98
4.163164,0.0381,-0.0403,0.9836,0.99
4.176418,0.0362,-0.0398,0.9982,1
4.192641,0.0308,-0.0366,0.9982,1
4.210409,0.03,-0.0359,0.9804,0.98
4.247154,0.0274,-0.0408,0.9951,1
4.260156,0.0193,-0.0362,0.9401,0.94
4.276804,0.0264,-0.0279,0.9645,0.97
4.293136,0.0308,-0.0366,1.0266,1.03
4.310903,0.0286,-0.0408,0.9907,0.99
4.350444,0.0264,-0.0374,0.9982,1
4.351073,0.0264,-0.0374,0.9982,1
4.376529,0.0235,-0.0428,0.9853,0.99
4.394017,0.0264,-0.0462,0.9909,0.99
4.4112,0.0288,-0.0447,0.9926,0.99
4.448547,0.0386,-0.0401,0.9846,0.99
4.461783,0.0369,-0.0388,0.986,0.99
4.477195,0.0381,-0.0401,0.9753,0.98
4.495023,0.0327,-0.0391,1.0068,1.01
4.511067,0.031,-0.0381,0.967,0.97
4.548637,0.0359,-0.0369,1.0119,1.01
4.562478,0.0335,-0.0425,1.0126,1.01
4.578217,0.0391,-0.0401,0.9887,0.99
4.594597,0.0337,-0.0384,0.9804,0.98
4.629067,0.0325,-0.0428,0.987,0.99
4.646076,0.033,-0.043,0.9858,0.99
4.665528,0.0281,-0.0396,0.9836,0.98
4.677731,0.0286,-0.0401,0.9846,0.99
4.695267,0.033,-0.0388,0.9909,0.99
4.728311,0.0296,-0.0349,0.9831,0.98
4.745081,0.0288,-0.0347,0.9875,0.99
4.767799,0.03,-0.0369,0.9897,0.99
4.780568,0.03,-0.0403,0.9887,0.99
4.795122,0.0327,-0.0396,0.9858,0.99
4.82942,0.0327,-0.0357,0.9804,0.98
4.845202,0.0352,-0.0391,0.988,0.99
4.868845,0.0347,-0.0393,0.9806,0.98
4.880033,0.0371,-0.0423,0.9787,0.98
4.896019,0.0371,-0.041,0.9936,1
4.91772,0.0337,-0.0406,0.996,1
4.951883,0.0371,-0.0415,1.0021,1
4.964172,0.0366,-0.0432,0.9894,0.99
4.979125,0.0296,-0.043,0.9428,0.94
4.996434,0.0364,-0.0376,0.9697,0.97
5.03015,0.0293,-0.0379,0.9948,1
5.048078,0.0293,-0.0347,0.9921,0.99
5.068056,0.032,-0.0393,0.997,1
5.08543,0.0291,-0.0442,0.9931,0.99
5.112809,0.0244,-0.0476,0.9882,0.99
5.130577,0.0291,-0.0513,0.9933,1
5.14784,0.033,-0.0459,0.9848,0.99
5.167401,0.0352,-0.0437,0.9828,0.98
5.180897,0.0344,-0.044,0.9855,0.99
5.213386,0.0379,-0.0398,0.9731,0.97
5.230975,0.0337,-0.0388,1.0041,1.01
5.246732,0.0369,-0.0423,0.9584,0.96
5.26867,0.0418,-0.0403,0.985,0.99
5.281963,0.0369,-0.042,1.0017,1
5.300653,0.0374,-0.0472,1.0073,1.01
5.331174,0.0352,-0.045,0.9863,0.99
5.347103,0.0362,-0.0447,0.9926,0.99
5.369562,0.0335,-0.045,0.9811,0.98
5.382852,0.0315,-0.043,0.9802,0.98
5.413581,0.0315,-0.0437,0.9941,1
5.431623,0.0269,-0.044,0.9948,1
5.452118,0.032,-0.0418,0.9789,0.98
5.464258,0.0308,-0.041,0.9819,0.98
5.4808,0.0322,-0.0418,0.9885,0.99
5.514564,0.0337,-0.0457,0.9843,0.99
5.530904,0.0347,-0.0423,0.9848,0.99
5.554313,0.0342,-0.0452,0.9858,0.99
5.566144,0.034,-0.0464,0.9887,0.99
5.582863,0.0342,-0.0464,0.9877,0.99
5.614892,0.0386,-0.043,0.9865,0.99
5.632403,0.0349,-0.045,0.9882,0.99
5.654193,0.034,-0.0445,0.9894,0.99
5.664738,0.0352,-0.0435,0.9894,0.99
5.698541,0.032,-0.0437,0.9824,0.98
5.71553,0.0322,-0.0432,0.9802,0.98
5.732197,0.0313,-0.0447,0.9872,0.99
5.749714,0.0286,-0.044,0.9789,0.98
5.777453,0.0315,-0.0428,0.9975,1
5.787717,0.0313,-0.0445,0.999,1
5.814445,0.0337,-0.045,0.9784,0.98
5.831963,0.0428,-0.0462,1.0097,1.01
5.848851,0.0325,-0.0484,0.9687,0.97
5.869251,0.0386,-0.0413,0.9545,0.96
5.898822,0.0327,-0.0406,0.9926,0.99
5.916803,0.0313,-0.0406,0.976,0.98
5.933268,0.0366,-0.0423,0.9955,1
5.949665,0.0386,-0.0484,1.0034,1.01
5.971199,0.0283,-0.0518,0.9946,1
6.000092,0.0269,-0.0523,0.9921,0.99
6.016767,0.0296,-0.0484,0.9855,0.99
6.032804,0.0354,-0.0467,0.9853,0.99
6.054503,0.0344,-0.0474,0.9836,0.99
6.066602,0.0313,-0.0469,0.9821,0.98
6.100232,0.0379,-0.0371,0.9912,0.99
6.117719,0.0269,-0.0462,0.978,0.98
6.134525,0.0374,-0.0445,0.9733,0.98
6.155773,0.0349,-0.0462,0.9946,1
6.170771,0.0337,-0.0484,1.0107,1.01
6.200515,0.0362,-0.0472,0.9836,0.99
6.217124,0.0315,-0.0452,0.9858,0.99
6.234077,0.0344,-0.0467,0.996,1
6.250794,0.0349,-0.0498,0.9792,0.98
6.274529,0.0286,-0.0472,0.9819,0.98
6.301435,0.0266,-0.044,0.9877,0.99
6.317092,0.0247,-0.0459,0.9821,0.98
6.334405,0.03,-0.0452,0.9755,0.98
6.351151,0.0332,-0.0447,0.9792,0.98
6.372673,0.0406,-0.0432,0.9899,0.99
6.402258,0.0391,-0.044,0.986,0.99
6.41802,0.0337,-0.0428,0.9877,0.99
6.435021,0.0315,-0.0442,0.9838,0.99
6.452168,0.0308,-0.0459,0.989,0.99
6.472168,0.0298,-0.0462,0.989,0.99
6.500929,0.0325,-0.0472,0.9872,0.99
6.518967,0.0313,-0.045,0.9863,0.99
6.534738,0.0354,-0.0428,0.9865,0.99
6.55687,0.0354,-0.0413,0.986,0.99
6.584765,0.03,-0.0476,0.9904,0.99
6.602895,0.0293,-0.0486,0.985,0.99
6.618664,0.0313,-0.0452,0.9806,0.98
6.635015,0.0327,-0.0428,0.986,0.99
6.657978,0.0303,-0.0442,0.9782,0.98
6.685032,0.0354,-0.042,0.9907,0.99
6.703169,0.033,-0.0447,1.0031,1
6.723116,0.0325,-0.0467,0.9797,0.98
6.7364,0.0349,-0.0457,0.9767,0.98
6.756895,0.0393,-0.0457,0.985,0.99
6.785672,0.0391,-0.0398,0.9682,0.97
6.802949,0.0386,-0.044,1.0273,1.03
6.819192,0.0315,-0.0489,0.9912,0.99
6.836908,0.0403,-0.0406,0.977,0.98
6.87453,0.0257,-0.0501,0.9953,1
6.887871,0.0239,-0.054,0.9953,1
6.902567,0.0266,-0.0564,0.9929,0.99
6.91974,0.0318,-0.0528,0.9938,1
6.953029,0.0335,-0.0476,0.9811,0.98
6.976088,0.0335,-0.0462,0.9816,0.98
6.988726,0.0308,-0.0435,0.9846,0.99
7.002915,0.0357,-0.044,0.9753,0.98
7.03709,0.0332,-0.0452,0.9491,0.95
7.0551,0.0396,-0.0415,0.9846,0.99
7.074624,0.0364,-0.0513,1.0075,1.01
7.086676,0.0366,-0.0523,1.0014,1
7.104316,0.034,-0.0462,0.9872,0.99
7.13693,0.0347,-0.0503,1.0036,1.01
7.154472,0.0366,-0.0533,0.9838,0.99
7.177728,0.03,-0.0476,0.9799,0.98
7.1874,0.03,-0.0481,0.978,0.98
7.205321,0.0322,-0.0442,0.9885,0.99
7.236973,0.0313,-0.0457,0.985,0.99
7.254727,0.0322,-0.044,0.9853,0.99
7.274379,0.0313,-0.0435,0.9843,0.99
7.287207,0.0303,-0.0447,0.9848,0.99
7.304076,0.0303,-0.0437,0.985,0.99
7.338732,0.0315,-0.043,0.9831,0.98
7.356005,0.0342,-0.0457,0.9843,0.99
7.377148,0.0366,-0.0469,0.9863,0.99
7.387909,0.0349,-0.0462,0.9877,0.99
7.404513,0.0349,-0.0467,0.9885,0.99
7.438719,0.0352,-0.0445,0.9853,0.99
7.461686,0.0366,-0.0452,0.9894,0.99
7.471945,0.0359,-0.0462,0.9885,0.99
7.489295,0.0344,-0.0447,0.9858,0.99
7.521602,0.0308,-0.0418,0.9872,0.99
7.540272,0.0293,-0.0425,0.9782,0.98
7.556334,0.0325,-0.042,0.9797,0.98
7.575727,0.0322,-0.0432,0.9995,1
7.5896,0.0298,-0.0423,0.9887,0.99
7.622252,0.0388,-0.0479,1.0024,1
7.638796,0.0359,-0.0467,0.9679,0.97
7.661964,0.0396,-0.041,0.9655,0.97
7.672699,0.043,-0.0418,0.9946,1
7.688598,0.0381,-0.042,1.0056,1.01
7.722221,0.0354,-0.0418,0.9919,0.99
7.740414,0.0347,-0.0457,0.9929,0.99
7.75848,0.0279,-0.0474,0.9941,1
7.773672,0.0271,-0.0513,0.9924,0.99
7.788836,0.0259,-0.0523,0.9877,0.99
7.822322,0.0379,-0.0469,0.987,0.99
7.839019,0.0374,-0.0481,0.9833,0.99
7.861171,0.0335,-0.0464,0.9814,0.98
7.872305,0.0335,-0.045,0.9806,0.98
7.90655,0.0283,-0.0442,1.0009,1
7.923256,0.0332,-0.044,0.9543,0.96
7.940331,0.0391,-0.0425,0.9838,0.99
7.956917,0.0374,-0.0467,1.0051,1.01
7.979913,0.0379,-0.0489,0.9933,1
8.007138,0.0352,-0.0464,0.9919,0.99
8.024527,0.0344,-0.0476,0.9919,0.99
8.041105,0.0376,-0.0486,0.9784,0.98
8.058175,0.0337,-0.0474,0.9794,0.98
8.080096,0.0344,-0.0447,0.9841,0.99
8.092332,0.033,-0.0445,0.9936,1
8.124424,0.0322,-0.0418,0.9831,0.98
8.140573,0.0327,-0.043,0.9853,0.99
8.160654,0.0337,-0.0432,0.9863,0.99
8.173965,0.0344,-0.0457,0.9838,0.99
8.208091,0.0349,-0.0442,0.9855,0.99
8.224765,0.0354,-0.0447,0.985,0.99
8.240967,0.0344,-0.0462,0.9868,0.99
8.264858,0.0366,-0.0481,0.9872,0.99
8.274185,0.0357,-0.0469,0.9872,0.99
8.308591,0.0371,-0.043,0.9865,0.99
8.325941,0.0344,-0.0435,0.987,0.99
8.34112,0.0347,-0.0452,0.9872,0.99
8.363474,0.0332,-0.0457,0.9907,0.99
8.374669,0.0342,-0.0447,0.9902,0.99
8.408709,0.0344,-0.0445,0.9858,0.99
8.425207,0.031,-0.044,0.9855,0.99
8.443722,0.034,-0.0452,0.9841,0.99
8.459176,0.0322,-0.0452,0.9836,0.99
8.480177,0.0318,-0.045,0.9802,0.98
8.508334,0.0344,-0.0442,1.0002,1
8.525788,0.0337,-0.0454,0.9865,0.99
8.542837,0.0369,-0.0452,0.9863,0.99
8.55864,0.0413,-0.0479,1.0021,1
8.579936,0.0342,-0.0476,0.9547,0.96
8.608484,0.0437,-0.0413,0.9929,0.99
8.625753,0.0332,-0.0432,0.9904,0.99
8.64259,0.033,-0.0425,0.9731,0.97
8.6593,0.0371,-0.0425,0.9946,1
8.681588,0.0318,-0.0498,0.9977,1
8.709794,0.0266,-0.0491,0.9948,1
8.726669,0.0259,-0.0498,0.9933,0.99
8.742854,0.0288,-0.0493,0.988,0.99
8.763771,0.0357,-0.0496,0.985,0.99
8.792946,0.0364,-0.0459,0.9843,0.99
8.810252,0.034,-0.0457,0.9828,0.98
8.826559,0.0403,-0.0418,0.9709,0.97
8.842949,0.0327,-0.045,1.0078,1.01
8.866763,0.0403,-0.0445,0.9631,0.96
8.893135,0.0374,-0.0476,1.0026,1
8.910797,0.0379,-0.0501,1.0046,1.01
8.926511,0.0369,-0.0469,0.9894,0.99
8.943869,0.0349,-0.0452,0.9875,0.99
8.961043,0.0337,-0.0474,0.9955,1
8.996022,0.0322,-0.0489,0.978,0.98
9.010246,0.032,-0.0462,0.9794,0.98
9.026802,0.031,-0.0462,0.9887,0.99
9.043628,0.03,-0.0447,0.9907,0.99
9.066629,0.034,-0.0454,0.9831,0.98
9.094177,0.0325,-0.0425,0.9841,0.99
9.111338,0.0322,-0.0423,0.9843,0.99
9.128089,0.0342,-0.0445,0.9853,0.99
9.14494,0.0344,-0.0459,0.9841,0.99
9.183774,0.0349,-0.0489,0.9909,0.99
9.194405,0.0335,-0.0474,0.9897,0.99
9.210842,0.032,-0.0474,0.985,0.99
9.228118,0.0381,-0.0452,0.9882,0.99
9.244508,0.034,-0.0454,0.9904,0.99
9.27,0.0327,-0.045,0.9843,0.99
9.29504,0.032,-0.043,0.986,0.99
9.312124,0.0298,-0.0428,0.9912,0.99
9.329261,0.0293,-0.0435,0.9853,0.99
9.345407,0.031,-0.0425,0.976,0.98
9.366617,0.0296,-0.044,0.9855,0.99
9.397799,0.0318,-0.0459,0.9855,0.99
9.412295,0.0305,-0.0467,0.9772,0.98
9.429692,0.0398,-0.0459,0.9924,0.99
9.46811,0.0335,-0.0384,0.9526,0.95
9.468646,0.0335,-0.0384,0.9526,0.95
9.496071,0.0344,-0.0462,1.0146,1.02
9.514259,0.0369,-0.0437,0.9765,0.98
9.528787,0.0388,-0.0432,0.9868,0.99
9.562774,0.0257,-0.0496,0.9946,1
9.585721,0.0271,-0.0535,0.9933,1
9.597114,0.0293,-0.0545,0.9924,0.99
9.613031,0.0322,-0.0493,0.9907,0.99
9.630226,0.0327,-0.0452,0.9855,0.99
9.662791,0.031,-0.0481,0.9826,0.98
9.683728,0.0342,-0.0452,0.9755,0.98
9.69704,0.0371,-0.0413,0.9948,1
9.715499,0.0264,-0.0464,0.9777,0.98
9.746217,0.0408,-0.0435,0.9953,1
9.762498,0.0342,-0.0498,1.0105,1.01
9.782576,0.0369,-0.0476,0.9929,0.99
9.795932,0.0344,-0.0447,0.9826,0.98
9.812844,0.0322,-0.0447,0.988,0.99
9.846689,0.0347,-0.0515,0.9814,0.98
9.864337,0.0337,-0.0467,0.9797,0.98
9.885999,0.0298,-0.045,0.9841,0.99
9.897228,0.032,-0.0442,0.988,0.99
9.91423,0.031,-0.0454,0.985,0.99
9.946814,0.0308,-0.042,0.9865,0.99
9.965186,0.03,-0.0432,0.9858,0.99
9.981514,0.0322,-0.0418,0.9821,0.98
9.997075,0.0305,-0.0413,0.9855,0.99
10.030364,0.0335,-0.0437,0.9853,0.99
10.046944,0.0337,-0.0457,0.9868,0.99
10.064481,0.0366,-0.0467,0.9853,0.99
10.083274,0.0369,-0.0454,0.987,0.99
10.098407,0.0354,-0.042,0.9899,0.99
10.115379,0.0335,-0.0425,0.9882,0.99
10.147417,0.034,-0.0406,0.9833,0.98
10.165667,0.031,-0.043,0.9863,0.99
10.187449,0.0322,-0.044,0.987,0.99
10.1991,0.0327,-0.042,0.9828,0.98
10.231313,0.03,-0.0413,0.9946,1
10.248903,0.0288,-0.044,0.9916,0.99
10.266286,0.0332,-0.0452,0.9811,0.98
10.287253,0.0403,-0.045,0.9987,1
10.297203,0.0371,-0.0472,0.9948,1
10.332376,0.0423,-0.0374,0.9743,0.98
10.348909,0.0393,-0.0415,1.0131,1.01
10.365742,0.0293,-0.0406,0.9831,0.98
10.387996,0.0381,-0.0401,0.9931,0.99
10.399683,0.0364,-0.043,0.9931,0.99
10.433202,0.0249,-0.0523,0.997,1
10.448908,0.0266,-0.0503,0.9921,0.99
10.480507,0.0352,-0.0442,0.9872,0.99
10.485637,0.0364,-0.0442,0.9855,0.99
10.500385,0.0322,-0.0445,0.9806,0.98
10.532689,0.033,-0.0437,0.9828,0.98
10.549322,0.0381,-0.0413,0.9697,0.97
10.570866,0.0325,-0.0452,1.0026,1
10.582812,0.0293,-0.0454,0.9584,0.96
10.600365,0.0386,-0.0413,0.9784,0.98
10.633159,0.0342,-0.0501,1.0063,1.01
10.649734,0.0401,-0.0452,0.9919,0.99
10.671423,0.0376,-0.045,0.9899,0.99
10.682022,0.031,-0.0435,0.9936,1
10.716996,0.0332,-0.0467,0.9806,0.98
10.734557,0.0308,-0.0435,0.9777,0.98
10.750812,0.0325,-0.043,0.989,0.99
10.7669,0.0322,-0.0442,0.9902,0.99
10.789979,0.0349,-0.0452,0.9841,0.99
10.817224,0.0347,-0.0445,0.9843,0.99
10.834047,0.0335,-0.044,0.9894,0.99
10.85062,0.0342,-0.0472,0.9882,0.99
10.866742,0.0342,-0.0452,0.9848,0.99
10.890243,0.0332,-0.0454,0.986,0.99
10.917157,0.0335,-0.0447,0.9868,0.99
10.935227,0.0362,-0.045,0.9872,0.99
10.95102,0.0371,-0.0442,0.9882,0.99
10.96796,0.0357,-0.0452,0.9858,0.99
10.990066,0.0381,-0.0452,0.9902,0.99
11.016982,0.0335,-0.0445,0.9846,0.99
11.034392,0.0315,-0.0432,0.985,0.99
11.051489,0.0332,-0.0423,0.9877,0.99
11.072375,0.0315,-0.0447,0.9855,0.99
11.100794,0.0315,-0.045,0.9811,0.98
11.118096,0.0362,-0.0432,0.9963,1
11.134959,0.0303,-0.0442,0.9899,0.99
11.15138,0.0359,-0.045,0.9799,0.98
11.17289,0.0406,-0.0462,1.0007,1
11.202274,0.0347,-0.044,0.9543,0.96
11.21865,0.0413,-0.0401,0.9782,0.98
11.234614,0.0408,-0.0418,1.0014,1
11.253022,0.0276,-0.0415,0.978,0.98
11.268887,0.0362,-0.0418,0.9848,0.99
11.291672,0.0354,-0.0445,0.9977,1
11.31893,0.0269,-0.0506,0.9948,1
11.335869,0.0249,-0.0493,0.9953,1
11.352994,0.0327,-0.0486,0.9907,0.99
11.369161,0.0332,-0.0462,0.9885,0.99
11.401529,0.0366,-0.0462,0.9816,0.98
11.420065,0.0347,-0.0445,0.986,0.99
11.43531,0.0349,-0.0447,0.9716,0.97
11.451601,0.0379,-0.0398,1.0036,1.01
11.487148,0.0413,-0.0435,0.9716,0.97
11.502116,0.0381,-0.0462,0.9985,1
11.518491,0.0332,-0.0489,1.0102,1.01
11.535804,0.0391,-0.0506,0.9946,1
11.559843,0.0325,-0.0457,0.9843,0.99
11.571105,0.03,-0.0454,0.9946,1
11.603528,0.0349,-0.0474,0.9743,0.98
11.621625,0.0364,-0.0462,0.9865,0.99
11.635585,0.0337,-0.0481,0.9877,0.99
11.658182,0.0305,-0.0428,0.9865,0.99
11.69595,0.0359,-0.041,0.9843,0.99
11.702284,0.033,-0.0418,0.9833,0.98
11.722628,0.031,-0.0418,0.9846,0.99
11.754615,0.0342,-0.0445,0.9848,0.99
