time,gFx,gFy,gFz,TgF
0.002771,-0.0369,0.9655,0.2155,0.99
0.020276,-0.0359,0.9819,0.1923,1.00
0.045639,-0.0098,1.0046,0.1888,1.02
0.063193,-0.0110,1.0041,0.1801,1.02
0.080259,-0.0235,0.9963,0.1710,1.01
0.098726,-0.0276,0.9838,0.1571,1.00
0.112435,-0.0276,0.9667,0.1529,0.98
0.146004,-0.0344,0.9565,0.1852,0.97
0.163120,-0.0442,0.9792,0.1598,0.99
0.179960,-0.0342,0.9938,0.1874,1.01
0.199014,-0.0320,1.0156,0.1788,1.03
0.213914,-0.0464,1.0310,0.1622,1.04
0.246603,-0.0496,0.9999,0.2069,1.02
0.263415,-0.0420,0.9828,0.1893,1.00
0.280199,-0.0420,0.9709,0.2006,0.99
0.299286,-0.0376,0.9655,0.1564,0.98
0.330007,-0.0379,0.9645,0.1744,0.98
0.346587,-0.0533,0.9398,0.1493,0.95
0.363847,-0.0506,0.9547,0.1463,0.97
0.382882,-0.0501,0.9748,0.1478,0.99
0.396698,-0.0269,0.9902,0.1561,1.00
0.430103,-0.0183,0.9926,0.1437,1.00
0.447669,-0.0796,0.9750,0.1539,0.99
0.464086,-0.1134,0.9501,0.1913,0.98
0.480904,-0.1393,0.9249,0.1947,0.96
0.500093,-0.1278,0.9298,0.1918,0.96
0.530509,-0.0750,0.9941,0.1867,1.01
0.547489,-0.0557,1.0324,0.2296,1.06
0.564014,-0.0745,1.0456,0.2665,1.08
0.583827,-0.0867,1.0693,0.2536,1.10
0.603244,-0.0796,1.0556,0.2428,1.09
0.618695,-0.0555,1.0188,0.2487,1.05
0.648111,-0.0562,0.9223,0.2348,0.95
0.664547,-0.0779,0.8795,0.2299,0.91
0.684538,-0.1019,0.8626,0.2155,0.89
0.697916,-0.1026,0.8644,0.2143,0.90
0.732339,-0.0997,0.8773,0.1805,0.90
0.748257,-0.0972,0.8670,0.1930,0.89
0.766487,-0.0933,0.8289,0.2165,0.86
0.782862,-0.1021,0.8121,0.1825,0.84
0.803471,-0.0860,0.7920,0.2150,0.83
0.832521,-0.0936,0.8512,0.1725,0.87
0.848767,-0.1116,0.8685,0.2094,0.90
0.866547,-0.0977,0.8732,0.2253,0.91
0.882430,-0.0645,0.9267,0.2255,0.96
0.904403,-0.0105,0.9538,0.2700,0.99
0.932387,-0.0208,0.8065,0.3254,0.87
0.950140,-0.1007,0.7337,0.2761,0.79
0.966145,-0.1231,0.7329,0.2675,0.79
0.987662,-0.1341,0.7786,0.2619,0.83
1.016140,-0.1290,0.8658,0.2260,0.90
1.032756,-0.1654,0.9164,0.2460,0.96
1.050552,-0.2035,1.0046,0.2546,1.06
1.066660,-0.1849,1.0363,0.2758,1.09
1.090845,-0.1590,1.0256,0.3064,1.08
1.105049,-0.1204,1.0620,0.3012,1.11
1.134038,0.0198,1.2333,0.3005,1.27
1.150623,0.0315,1.2267,0.2289,1.25
1.166876,0.0596,1.1776,0.1742,1.19
1.187739,0.1783,1.3317,0.1495,1.35
1.217542,-0.0191,1.5504,-0.0198,1.55
1.234102,0.0381,1.3156,0.1112,1.32
1.251104,0.0061,1.1258,0.3020,1.17
1.269020,-0.1119,1.0153,0.3709,1.09
1.284471,-0.1893,1.0024,0.3215,1.07
1.306736,-0.1402,0.9836,0.2226,1.02
1.335183,0.0239,0.9445,0.0589,0.95
1.351121,0.0618,0.9164,0.0660,0.92
1.368340,0.0640,0.8788,0.1014,0.89
1.406933,0.0232,0.8267,0.0923,0.83
1.407867,0.0205,0.8272,0.0906,0.83
1.434189,-0.0239,0.8214,0.0677,0.82
1.451067,-0.0200,0.7940,0.0870,0.80
1.468286,-0.0129,0.7503,0.1077,0.76
1.499732,0.0713,0.7576,0.1102,0.77
1.517922,0.0308,0.7786,0.1107,0.79
1.536062,-0.0388,0.7613,0.1781,0.78
1.553082,-0.0640,0.7246,0.2338,0.76
1.568587,-0.0481,0.7305,0.2551,0.78
1.590235,-0.0437,0.8189,0.2709,0.86
1.617877,-0.0552,0.9486,0.2900,0.99
1.635937,-0.0173,0.9740,0.2450,1.00
1.652600,0.0217,0.9657,0.1959,0.99
1.668496,0.0286,0.9557,0.1495,0.97
1.692127,-0.0279,1.0070,0.1344,1.02
1.718862,-0.0643,1.2079,0.2189,1.23
1.736163,-0.0613,1.3026,0.2465,1.33
1.752630,-0.0963,1.3676,0.1590,1.38
1.770051,-0.0999,1.3952,0.0120,1.40
1.808532,-0.0423,1.3041,-0.1305,1.31
1.820001,-0.1935,1.3933,0.0765,1.41
1.836438,-0.3916,1.4881,0.2924,1.57
1.852331,-0.3567,1.4460,0.3745,1.54
1.890488,0.0985,1.0100,0.2392,1.04
1.901982,0.1461,0.9330,0.2314,0.97
1.920149,0.0638,0.8419,0.1803,0.86
1.937003,-0.1419,0.7964,0.1119,0.82
1.954260,-0.2785,0.8089,0.1270,0.86
1.988497,-0.1688,0.9166,0.1603,0.95
2.009099,-0.0454,0.8807,0.1036,0.89
2.027044,-0.0232,0.7754,0.0765,0.78
2.036292,-0.0242,0.7192,0.0950,0.73
2.053982,-0.0706,0.6699,0.0923,0.68
2.091772,-0.0757,0.7644,0.1251,0.78
2.106069,-0.0525,0.7788,0.1720,0.80
2.120918,-0.0564,0.7984,0.2030,0.83
2.136899,-0.0867,0.8008,0.2541,0.84
2.154647,-0.1495,0.8118,0.3459,0.90
2.193262,-0.0811,0.8094,0.2446,0.85
2.210442,-0.0381,0.8685,0.1808,0.89
2.221017,-0.0362,0.9279,0.1757,0.95
2.238369,-0.0665,1.0403,0.2011,1.06
2.254137,-0.0200,1.0464,0.2318,1.07
2.288199,-0.0493,1.0129,0.1576,1.03
2.310549,-0.1566,1.0583,0.2296,1.09
2.324592,-0.1737,1.0808,0.2577,1.12
2.337650,-0.1854,1.1026,0.2279,1.14
2.355090,-0.1329,1.0771,0.2179,1.11
2.389633,0.1647,1.0002,0.0388,1.01
2.410088,0.2301,1.1636,-0.0198,1.19
2.423953,0.1261,1.4639,0.0410,1.47
2.438565,-0.1033,1.7512,0.0029,1.75
