time,gFx,gFy,gFz,TgF
0.003784,0.0564,1.0004,0.1776,1.02
0.037065,0.0728,0.9819,0.1703,1.00
0.044896,0.0728,0.9848,0.1527,1.00
0.061926,0.0669,0.9865,0.1471,1.00
0.094960,0.0557,0.9684,0.2081,0.99
0.111844,0.0750,0.9460,0.1947,0.97
0.128362,0.0904,0.9423,0.1849,0.96
0.147339,0.0860,0.9762,0.1739,1.00
0.162186,0.0684,1.0100,0.1595,1.02
0.179856,0.0623,1.0205,0.1544,1.03
0.212732,0.0533,0.9789,0.1896,1.00
0.228982,0.0440,0.9682,0.1835,0.99
0.248436,0.0437,0.9772,0.1830,1.00
0.262795,0.0415,0.9946,0.1849,1.01
0.296174,0.0129,1.0254,0.1695,1.04
0.312864,0.0059,1.0263,0.1605,1.04
0.337663,0.0464,0.9843,0.1129,0.99
0.346441,0.0503,0.9682,0.1048,0.98
0.362989,0.0545,0.9455,0.0992,0.95
0.396293,0.0437,0.9679,0.1590,0.98
0.413058,0.0525,0.9973,0.1725,1.01
0.432757,0.0498,0.9975,0.0921,1.00
0.446790,0.0474,0.9794,0.0838,0.98
0.463177,0.0410,0.9550,0.0906,0.96
0.496965,-0.0450,0.9711,0.0855,0.98
0.513435,-0.0279,1.0173,0.0989,1.02
0.533051,0.0220,1.0236,0.1507,1.03
0.548210,0.0305,0.9973,0.1300,1.01
0.563916,0.0166,0.9733,0.1476,0.98
0.598744,-0.0880,0.9635,0.2081,0.99
0.614951,-0.1004,1.0002,0.2003,1.02
0.632722,-0.0735,1.0547,0.1761,1.07
0.652711,-0.0071,1.1131,0.1791,1.13
0.669179,0.0039,1.0925,0.1857,1.11
0.697567,-0.0076,0.9811,0.2375,1.01
0.715955,-0.0366,0.9325,0.2079,0.96
0.731748,-0.0530,0.9279,0.2079,0.95
0.753495,-0.0594,0.9711,0.2441,1.00
0.781835,-0.0235,0.9616,0.2282,0.99
0.798456,-0.0173,0.9159,0.2223,0.94
0.815957,-0.0520,0.8793,0.2194,0.91
0.832972,-0.0755,0.8878,0.2172,0.92
0.852986,-0.0450,0.8946,0.2025,0.92
0.885236,-0.0313,0.8587,0.2436,0.89
0.899281,-0.0428,0.8519,0.2663,0.89
0.916710,-0.0559,0.8490,0.2704,0.89
0.932893,-0.0503,0.8575,0.2634,0.90
0.952891,-0.0352,0.8306,0.2441,0.87
0.982292,-0.0779,0.8411,0.1962,0.87
0.999865,-0.1070,0.9159,0.2438,0.95
1.015636,-0.1134,0.9530,0.2744,1.00
1.037107,-0.1026,0.8739,0.2441,0.91
1.049691,-0.0625,0.7923,0.1928,0.82
1.082335,-0.0574,0.9022,0.2157,0.93
1.100177,0.0032,0.9433,0.2516,0.98
1.116381,0.0606,0.8612,0.2384,0.90
1.146605,0.0523,0.7236,0.2125,0.76
1.153009,-0.0276,0.7725,0.2108,0.80
1.183242,-0.1400,1.0774,0.2890,1.12
1.200114,-0.0774,1.1250,0.3489,1.18
1.216353,-0.0616,1.0776,0.3464,1.13
1.239884,-0.0862,1.0539,0.3164,1.10
1.253034,-0.0564,1.0730,0.3415,1.13
1.283815,-0.0093,1.0842,0.2849,1.12
1.299844,0.0291,1.0740,0.2438,1.10
1.318011,0.0335,1.0454,0.2602,1.08
1.334081,0.0103,0.9860,0.2477,1.02
1.354853,0.0066,0.8167,0.1761,0.84
1.383343,0.1998,1.1785,0.0391,1.20
1.400008,0.1229,1.5638,-0.1610,1.58
1.417267,0.0410,1.5880,-0.2069,1.60
1.435117,0.1810,1.2931,0.2328,1.33
1.454994,0.1727,1.1316,0.3144,1.19
1.484058,-0.0379,1.2665,0.1727,1.28
1.500646,-0.1148,1.2140,0.1698,1.23
1.518943,-0.0865,1.0732,0.1353,1.09
1.555891,0.0555,0.8773,0.2145,0.90
1.557487,0.0537,0.8739,0.2157,0.90
1.583961,0.0474,0.8492,0.1881,0.87
1.601153,0.0515,0.8756,0.0760,0.88
1.619971,0.0513,0.9000,0.0892,0.91
1.658004,-0.0056,0.8578,0.1324,0.87
1.658986,-0.0017,0.8507,0.1395,0.86
1.684402,0.0222,0.7451,0.1588,0.76
1.702454,-0.0120,0.7249,0.1346,0.74
1.718671,-0.0178,0.7351,0.1156,0.74
1.739721,0.0039,0.7891,0.0679,0.79
1.768548,0.0677,0.8267,0.0669,0.83
1.785929,0.1068,0.7749,0.1451,0.80
1.802702,0.0967,0.6787,0.2279,0.72
1.819025,0.0408,0.6442,0.2463,0.69
1.840752,-0.0364,0.6973,0.1935,0.72
1.868260,0.0039,0.7999,0.1549,0.81
1.885872,0.0643,0.8636,0.1879,0.89
1.901662,0.1014,0.9262,0.2135,0.96
1.919582,0.1195,1.0097,0.2023,1.04
1.957537,-0.0127,1.2196,0.1317,1.23
1.969002,-0.0755,1.3122,0.1622,1.32
1.985588,-0.0484,1.3439,0.1969,1.36
2.002447,-0.0379,1.2948,0.0479,1.30
2.036210,0.0120,1.3102,-0.2670,1.34
2.057395,-0.0506,1.6713,-0.2863,1.70
2.072435,-0.1287,1.7785,-0.0486,1.78
2.090348,-0.0906,1.5978,0.5187,1.68
2.101849,-0.1649,1.4206,0.4654,1.50
2.138764,-0.1270,1.0429,0.3034,1.09
2.152798,-0.0222,0.9320,0.3491,1.00
2.169719,0.0122,0.8238,0.2255,0.85
2.185928,0.0203,0.7654,0.1002,0.77
2.204690,-0.0105,0.7566,0.0264,0.76
2.241429,-0.1378,0.8223,0.0555,0.84
2.256444,-0.1234,0.8685,0.0330,0.88
2.273975,-0.0897,0.8644,0.0726,0.87
2.305183,-0.0359,0.7131,0.1222,0.72
2.320655,-0.0178,0.6418,0.1121,0.65
2.343586,-0.0164,0.6254,0.0594,0.63
2.357407,-0.0369,0.6665,0.0955,0.67
2.369855,-0.0682,0.6885,0.1771,0.71
2.403697,-0.0589,0.7583,0.2639,0.81
2.421602,-0.0029,0.7249,0.1932,0.75
2.439302,0.0022,0.7559,0.0515,0.76
2.460927,-0.0208,0.9362,-0.0002,0.94
2.471262,-0.0281,1.0166,0.1263,1.02
2.503997,-0.0611,1.1275,0.3005,1.17
2.521720,-0.0484,1.1277,0.1642,1.14
2.538138,-0.1046,1.2337,0.1554,1.25
2.558885,-0.1190,1.3662,0.2756,1.40
2.576998,-0.0371,1.2367,0.1996,1.25
2.605687,0.0625,0.8661,0.0518,0.87
2.622826,0.0415,0.8983,0.0770,0.90
2.639728,0.0508,1.1118,0.1109,1.12
2.659887,0.0899,1.6180,0.0862,1.62
2.675115,0.1930,1.8760,0.0056,1.89
2.705520,0.0574,1.3273,0.2294,1.35
2.722734,-0.0533,1.1446,0.4810,1.24
2.738099,-0.0894,1.0955,0.4112,1.17
2.760534,0.0320,1.0520,0.2565,1.08
2.774815,0.0437,0.9772,0.1962,1.00
2.805756,0.0164,0.8499,0.1432,0.86
2.823338,0.0078,0.7688,0.1244,0.78
2.839160,-0.0169,0.7065,0.1224,0.72
2.860902,-0.0325,0.6694,0.0875,0.68
2.877096,0.0191,0.6916,0.0276,0.69
2.906022,0.1505,0.7048,-0.0232,0.72
2.922074,0.1197,0.6936,0.0107,0.70
2.945275,0.0826,0.6975,0.1461,0.72
2.957717,0.0767,0.7021,0.1652,0.73
2.990048,0.0042,0.6804,0.2595,0.73
3.006272,-0.0779,0.6716,0.2489,0.72
3.024077,-0.0479,0.7319,0.1630,0.75
3.040156,0.0511,0.8548,0.1546,0.87
3.064274,0.1048,1.0395,0.2267,1.07
3.089993,-0.0740,1.0224,0.2521,1.06
3.107474,-0.1676,1.0828,0.1930,1.11
3.124267,-0.0555,1.2100,0.1742,1.22
3.140143,0.1390,1.2960,0.0948,1.31
3.161499,0.2792,1.3339,-0.1451,1.37
3.177943,0.1048,1.2829,-0.2511,1.31
3.205989,-0.2741,1.4639,0.0129,1.49
3.222878,-0.1173,1.6356,0.1510,1.65
3.239639,0.1051,1.5284,0.1903,1.54
3.260247,0.0645,1.3493,0.2397,1.37
3.289559,0.0423,1.3322,0.2384,1.35
3.307519,0.0300,1.1998,0.1637,1.21
3.325748,-0.0281,1.0544,0.1517,1.07
3.340492,-0.0188,0.9367,0.1786,0.95
3.377589,0.0386,0.7490,0.1124,0.76
3.390609,0.0227,0.7420,0.0770,0.75
3.407990,-0.0259,0.7481,0.0406,0.75
3.424614,-0.0774,0.7554,0.0396,0.76
3.446026,-0.0728,0.7473,0.0547,0.75
3.474110,-0.0015,0.6750,0.0171,0.68
3.490818,-0.0022,0.6521,-0.0051,0.65
3.508010,-0.0191,0.6413,0.0286,0.64
3.525028,-0.0369,0.6508,0.1495,0.67
3.546594,-0.0892,0.7200,0.2563,0.77
3.574768,-0.0730,0.8077,0.2890,0.86
3.592471,-0.0161,0.7874,0.2111,0.82
3.608257,0.0315,0.7654,0.1002,0.77
3.625881,0.0281,0.7835,0.0391,0.78
