time,gFx,gFy,gFz,TgF
4.046191,-0.0335,0.0523,0.956,0.96
4.060749,0.009,0.0687,0.9308,0.93
4.074756,0.0227,0.066,0.9147,0.92
4.090954,-0.0244,0.0462,0.9257,0.93
4.124793,-0.1192,0.0269,0.9848,0.99
4.142869,-0.1488,0.044,0.9948,1.01
4.158997,-0.1815,0.0579,1.0175,1.04
4.175513,-0.1976,0.0816,1.04,1.06
4.192617,-0.1823,0.0938,1.0207,1.04
4.226188,-0.1375,0.0765,0.9638,0.98
4.242831,-0.1351,0.0643,0.9574,0.97
4.263784,-0.1224,0.0508,0.9777,0.99
4.275674,-0.1077,0.0476,0.9792,0.99
4.292816,-0.0843,0.0498,0.9618,0.97
4.32559,-0.0806,0.0349,0.9648,0.97
4.34328,-0.0931,0.0327,0.9767,0.98
4.364733,-0.1038,0.041,0.9772,0.98
4.376147,-0.1109,0.0447,0.9728,0.98
4.392942,-0.1226,0.0496,0.9797,0.99
4.427003,-0.1068,0.0584,1.0085,1.02
4.444693,-0.0911,0.0581,1.0051,1.01
4.464173,-0.0953,0.0623,0.9882,0.99
4.477626,-0.0989,0.0618,0.9782,0.99
4.494697,-0.0972,0.0591,0.9738,0.98
4.527723,-0.1053,0.0525,0.9723,0.98
4.543449,-0.1029,0.0569,0.9697,0.98
4.565755,-0.1019,0.0581,0.9743,0.98
4.578878,-0.1004,0.0579,0.9758,0.98
4.599292,-0.0989,0.0603,0.9772,0.98
4.626506,-0.1077,0.0625,0.9968,1
4.646215,-0.1141,0.0633,1.0073,1.02
4.660626,-0.1104,0.0665,0.9926,1
4.676688,-0.0972,0.0591,0.9899,1
4.711059,-0.1029,0.0496,0.9775,0.98
4.727401,-0.0923,0.0513,0.9557,0.96
4.748523,-0.0928,0.0621,0.9565,0.96
4.761141,-0.1011,0.0633,0.974,0.98
4.777238,-0.1063,0.0655,1.0051,1.01
4.811203,-0.1029,0.0706,0.9916,1
4.828752,-0.0989,0.0665,0.9687,0.98
4.846015,-0.1007,0.0476,0.9806,0.99
4.865832,-0.1011,0.0557,0.9826,0.99
4.879356,-0.1021,0.0591,0.974,0.98
4.91116,-0.0977,0.0638,0.9836,0.99
4.928627,-0.0914,0.0674,0.9921,1
4.951107,-0.0955,0.0638,0.9814,0.99
4.961545,-0.0963,0.064,0.9799,0.99
4.99503,-0.0953,0.0635,0.9748,0.98
5.011539,-0.0989,0.0652,0.9789,0.99
5.030133,-0.0977,0.0682,0.988,1
5.046065,-0.0972,0.0711,0.9948,1
5.068275,-0.095,0.0672,0.9877,0.99
5.082696,-0.0945,0.0665,0.9831,0.99
5.11271,-0.0916,0.0608,0.9802,0.99
5.129219,-0.0958,0.0621,0.9784,0.99
5.146117,-0.0992,0.0633,0.9787,0.99
5.166934,-0.0965,0.0638,0.9819,0.99
5.195375,-0.0967,0.0633,0.9826,0.99
5.213648,-0.096,0.066,0.9745,0.98
5.230876,-0.0941,0.0674,0.975,0.98
5.246559,-0.0967,0.0682,0.9848,0.99
5.268463,-0.1024,0.0672,0.9958,1
5.29594,-0.0899,0.0657,0.9789,0.99
5.313597,-0.0892,0.0616,0.9877,0.99
5.329732,-0.0999,0.0599,0.9843,0.99
5.352265,-0.0916,0.0633,0.9616,0.97
5.379258,-0.0972,0.0779,0.9743,0.98
5.39714,-0.1033,0.0772,1.0046,1.01
5.414433,-0.0955,0.0745,1.0175,1.02
5.431114,-0.0899,0.0696,0.998,1
5.447192,-0.0899,0.066,0.9689,0.98
5.469381,-0.098,0.053,0.9584,0.96
5.497541,-0.0985,0.0594,0.9772,0.98
5.513272,-0.098,0.0694,0.9833,0.99
5.530479,-0.0975,0.0726,0.9836,0.99
5.547441,-0.0894,0.0704,0.9885,0.99
5.568579,-0.0921,0.0716,0.987,0.99
5.597281,-0.0882,0.0704,0.9821,0.99
5.614114,-0.0909,0.0679,0.9745,0.98
5.63242,-0.0963,0.0733,0.9748,0.98
5.647944,-0.097,0.0767,0.9836,0.99
5.669528,-0.0941,0.077,0.9929,1
5.697038,-0.0926,0.0696,0.9865,0.99
5.715373,-0.0933,0.0655,0.9806,0.99
5.731165,-0.0923,0.0645,0.9794,0.99
5.753752,-0.0945,0.0625,0.9816,0.99
5.781163,-0.0941,0.0674,0.9762,0.98
5.797554,-0.0955,0.0696,0.978,0.99
5.814931,-0.0931,0.0723,0.9843,0.99
5.833221,-0.0928,0.0706,0.9865,0.99
5.871513,-0.0963,0.0662,0.9789,0.99
5.881659,-0.0977,0.0694,0.9762,0.98
5.897929,-0.0923,0.0706,0.9755,0.98
5.91556,-0.0941,0.0718,0.9814,0.99
5.93231,-0.0982,0.0721,0.9938,1
5.952052,-0.0965,0.0711,0.9892,1
5.98311,-0.0792,0.0667,0.9821,0.99
5.998912,-0.0914,0.064,0.9821,0.99
6.015954,-0.0941,0.0623,0.9736,0.98
6.033158,-0.0914,0.0706,0.9616,0.97
6.071166,-0.0975,0.0794,1.007,1.01
6.082993,-0.0938,0.0782,1.017,1.02
6.099227,-0.0875,0.0738,1.0034,1.01
6.115705,-0.0855,0.0677,0.975,0.98
6.149821,-0.1011,0.0594,0.9633,0.97
6.173709,-0.1011,0.0696,0.9828,0.99
6.185081,-0.1004,0.0743,0.9855,0.99
6.203558,-0.0982,0.077,0.9848,0.99
6.217714,-0.0945,0.0745,0.985,0.99
6.253371,-0.0938,0.0726,0.9848,0.99
6.271551,-0.0901,0.0711,0.9789,0.99
6.281559,-0.0855,0.0735,0.9787,0.99
6.298266,-0.0906,0.0755,0.976,0.98
6.315099,-0.0911,0.0774,0.978,0.99
6.34874,-0.0889,0.077,0.9919,1
6.367086,-0.0892,0.0752,0.9907,1
6.382466,-0.0899,0.0699,0.9833,0.99
6.398863,-0.088,0.0672,0.9806,0.99
6.416171,-0.0923,0.0662,0.9794,0.99
6.450052,-0.0953,0.0704,0.9772,0.98
6.471411,-0.0923,0.0735,0.9765,0.98
6.484224,-0.0911,0.0755,0.9804,0.99
6.499888,-0.0911,0.0748,0.9848,0.99
6.517229,-0.0921,0.0748,0.9836,0.99
6.551145,-0.0943,0.0745,0.9831,0.99
6.571948,-0.0967,0.0726,0.9816,0.99
6.584217,-0.0953,0.0733,0.9775,0.98
6.601697,-0.0889,0.075,0.977,0.98
6.620984,-0.0926,0.0765,0.9833,0.99
6.65542,-0.0943,0.0752,0.987,0.99
6.66811,-0.086,0.075,0.9777,0.98
6.685093,-0.0826,0.0665,0.9843,0.99
6.701483,-0.0909,0.0674,0.986,0.99
6.735498,-0.0855,0.075,0.9621,0.97
6.752567,-0.0914,0.0838,0.975,0.98
6.773563,-0.0955,0.0833,1.0051,1.01
6.785206,-0.0953,0.0833,1.0144,1.02
6.801769,-0.0892,0.0794,1.0024,1.01
6.835095,-0.0955,0.065,0.9545,0.96
6.853079,-0.1014,0.0645,0.9635,0.97
6.872796,-0.0992,0.0699,0.9799,0.99
6.885657,-0.0958,0.0767,0.9897,1
6.905333,-0.0945,0.0767,0.9897,1
6.936053,-0.0848,0.073,0.9865,0.99
6.953195,-0.0894,0.0774,0.9836,0.99
6.974685,-0.0894,0.0735,0.9824,0.99
6.984702,-0.0882,0.074,0.9816,0.99
7.002701,-0.0897,0.0745,0.9782,0.99
7.036501,-0.0875,0.0831,0.9887,1
7.052451,-0.087,0.0828,0.9941,1
7.075333,-0.0882,0.0774,0.9868,0.99
7.086428,-0.0867,0.0718,0.9841,0.99
7.102628,-0.0897,0.0679,0.9821,0.99
7.136886,-0.0928,0.0718,0.9828,0.99
7.15372,-0.0938,0.0757,0.9841,0.99
7.175164,-0.0911,0.0779,0.9816,0.99
7.186791,-0.0894,0.0809,0.9799,0.99
7.202864,-0.0904,0.0782,0.9848,0.99
7.236071,-0.0938,0.0752,0.9838,0.99
7.259033,-0.095,0.0762,0.986,0.99
7.269079,-0.0958,0.0777,0.9872,0.99
7.286589,-0.0955,0.0762,0.9872,0.99
7.32045,-0.0945,0.0762,0.9704,0.98
7.338549,-0.0933,0.0728,0.9721,0.98
7.354117,-0.0992,0.074,0.9853,0.99
7.375595,-0.1016,0.0716,1.0012,1.01
7.386933,-0.1016,0.0738,0.9914,1
7.420258,-0.088,0.0643,0.9782,0.98
7.437579,-0.1007,0.0613,0.9853,0.99
7.45814,-0.0926,0.0704,0.9701,0.98
7.474442,-0.0975,0.0784,0.9765,0.98
7.486679,-0.1068,0.085,0.9897,1
7.520796,-0.1009,0.0755,1.0012,1.01
7.538044,-0.098,0.0716,0.9826,0.99
7.555419,-0.0992,0.0662,0.9657,0.97
7.575128,-0.1065,0.055,0.9643,0.97
7.590724,-0.1102,0.0599,0.9704,0.98
7.621414,-0.1082,0.0682,0.986,0.99
7.638843,-0.1082,0.0701,0.9821,0.99
7.654437,-0.1014,0.0708,0.9799,0.99
7.675505,-0.1021,0.0687,0.9833,0.99
7.688437,-0.1058,0.066,0.9841,0.99
7.720942,-0.1011,0.0657,0.9765,0.98
7.737661,-0.1031,0.0699,0.9726,0.98
7.758755,-0.1082,0.0704,0.9836,0.99
7.771879,-0.1043,0.0708,0.9872,1
7.789693,-0.1055,0.0701,0.9843,0.99
7.821841,-0.1038,0.0591,0.9802,0.99
7.840096,-0.106,0.0574,0.9789,0.99
7.855926,-0.108,0.0599,0.9777,0.99
7.87662,-0.1082,0.0606,0.9789,0.99
7.889301,-0.1077,0.0613,0.976,0.98
7.922902,-0.1016,0.0645,0.9731,0.98
7.939151,-0.1026,0.0635,0.9753,0.98
7.961288,-0.1036,0.0643,0.9789,0.99
7.972702,-0.1063,0.0667,0.9814,0.99
8.006733,-0.1068,0.0652,0.9802,0.99
8.022719,-0.108,0.0669,0.9755,0.98
8.041392,-0.1026,0.0701,0.9711,0.98
8.057395,-0.1019,0.0684,0.9838,0.99
8.077374,-0.1036,0.0679,0.997,1
8.106838,-0.1038,0.0687,0.9758,0.98
8.122816,-0.088,0.0608,0.9723,0.98
8.140267,-0.1007,0.0616,0.9794,0.99
8.157215,-0.1041,0.0594,0.9804,0.99
8.177063,-0.0911,0.0743,0.9687,0.98
8.207115,-0.1048,0.0838,0.9982,1.01
8.222893,-0.0985,0.0809,1.0063,1.01
8.240335,-0.0955,0.0738,0.9924,1
8.261219,-0.0948,0.0669,0.9684,0.98
8.272773,-0.0965,0.0645,0.967,0.97
8.306072,-0.1029,0.0696,0.977,0.98
8.323578,-0.0999,0.076,0.9814,0.99
8.341031,-0.1004,0.0777,0.9804,0.99
8.356677,-0.095,0.076,0.9777,0.99
8.377356,-0.0889,0.0755,0.9821,0.99
8.40716,-0.0909,0.073,0.9802,0.99
8.424539,-0.085,0.0748,0.9804,0.99
8.441058,-0.0836,0.0777,0.9772,0.98
8.458876,-0.0853,0.0804,0.9787,0.99
8.477875,-0.0887,0.0843,0.9887,1
8.507461,-0.0838,0.0814,0.9892,1
8.525811,-0.0816,0.0774,0.9853,0.99
8.54213,-0.0796,0.0743,0.9838,0.99
8.559049,-0.0774,0.0721,0.9831,0.99
8.579241,-0.0801,0.0733,0.9836,0.99
8.607829,-0.0838,0.0828,0.9824,0.99
8.624661,-0.0811,0.0809,0.9802,0.99
8.641221,-0.077,0.075,0.9887,0.99
8.662574,-0.0743,0.084,0.9863,0.99
8.69179,-0.0757,0.0799,0.9814,0.99
8.70869,-0.0755,0.0794,0.988,0.99
8.726144,-0.0733,0.0826,0.9868,0.99
8.743114,-0.0792,0.0816,0.9804,0.99
8.759218,-0.0733,0.0848,0.9762,0.98
8.779518,-0.0711,0.0838,0.9753,0.98
8.809164,-0.0772,0.0823,0.9865,0.99
8.82551,-0.0757,0.0804,0.9938,1
8.84296,-0.0701,0.0855,0.9809,0.99
8.860382,-0.0621,0.0823,0.9929,1
8.880177,-0.0672,0.0765,0.9892,0.99
8.910023,-0.065,0.0804,0.9604,0.97
8.92557,-0.0674,0.0865,0.9604,0.97
8.94353,-0.0745,0.0926,0.9824,0.99
8.960308,-0.0774,0.0906,1.0041,1.01
8.99418,-0.0674,0.0889,0.9926,1
9.009093,-0.0684,0.084,0.9772,0.98
9.026939,-0.0723,0.0784,0.9728,0.98
9.044027,-0.0738,0.076,0.9736,0.98
9.080467,-0.074,0.0843,0.9789,0.99
9.093724,-0.0718,0.086,0.9814,0.99
9.109614,-0.0618,0.0867,0.9892,0.99
9.127251,-0.0667,0.0921,0.9897,1
9.143837,-0.0687,0.0862,0.9892,1
9.163879,-0.0647,0.0836,0.9816,0.99
9.193618,-0.0638,0.0862,0.9765,0.98
9.211284,-0.0645,0.0906,0.9819,0.99
9.227033,-0.0647,0.0941,0.9882,0.99
9.243981,-0.0655,0.0919,0.9904,1
9.265709,-0.0633,0.0867,0.9848,0.99
9.293925,-0.0623,0.0799,0.9828,0.99
9.311087,-0.0628,0.0828,0.9836,0.99
9.327629,-0.0652,0.0865,0.9809,0.99
9.345092,-0.0633,0.0894,0.9767,0.98
9.383039,-0.0633,0.0882,0.9846,0.99
9.395085,-0.0623,0.0858,0.985,0.99
9.411599,-0.0618,0.086,0.9833,0.99
9.427588,-0.0628,0.0867,0.9824,0.99
9.461585,-0.0674,0.0904,0.9836,0.99
9.483407,-0.0684,0.0897,0.9814,0.99
9.494705,-0.0611,0.0875,0.9814,0.99
9.511538,-0.0625,0.0897,0.9828,0.99
9.527716,-0.0586,0.0887,0.9836,0.99
9.565609,-0.0674,0.0855,0.9804,0.99
9.577925,-0.0645,0.0897,0.9787,0.98
9.595164,-0.0599,0.0904,0.9836,0.99
9.612989,-0.0652,0.0899,0.9877,0.99
9.629491,-0.0618,0.0889,0.9899,1
9.66308,-0.0525,0.0877,0.9819,0.99
9.684661,-0.0586,0.0828,0.9863,0.99
9.69574,-0.063,0.0801,0.9838,0.99
9.712074,-0.0628,0.0843,0.9684,0.97
9.72886,-0.0594,0.0928,0.9611,0.97
9.762788,-0.0657,0.096,0.9963,1
9.78472,-0.0628,0.096,1.008,1.01
9.796726,-0.0589,0.0948,1.0017,1.01
9.812021,-0.0533,0.0919,0.987,0.99
9.832443,-0.0623,0.0816,0.9758,0.98
9.861723,-0.0677,0.0801,0.9758,0.98
9.881318,-0.0652,0.0906,0.9787,0.99
9.895479,-0.0638,0.0943,0.9789,0.99
9.912597,-0.0594,0.0921,0.9828,0.99
9.93083,-0.0579,0.0923,0.9907,1
9.966915,-0.0616,0.0901,0.9919,1
9.979826,-0.0601,0.0909,0.985,0.99
9.996258,-0.0608,0.0936,0.9784,0.98
10.01364,-0.0638,0.098,0.9794,0.99
10.046263,-0.0623,0.1009,0.9921,1
10.065004,-0.0621,0.0967,0.9916,1
10.084518,-0.065,0.0911,0.9887,1
10.097364,-0.0674,0.0862,0.9875,0.99
