time,gFx,gFy,gFz,TgF
3.823846,0.0503,-0.224,1.0139,1.04
3.841878,0.0762,-0.2001,1.1776,1.2
3.862579,0.0562,-0.0574,1.061,1.06
3.876179,0.0098,0.0266,0.9858,0.99
3.891605,-0.0344,0.0967,0.9758,0.98
3.925235,-0.073,0.0508,1.0696,1.07
3.94137,-0.0555,-0.0017,1.0662,1.07
3.966309,-0.0193,-0.0567,1.0278,1.03
3.980947,-0.0156,-0.0462,0.9965,1
4.00718,-0.0081,0.0418,0.8832,0.88
4.024148,-0.0007,0.1016,0.8539,0.86
4.044981,-0.0386,0.1427,0.8978,0.91
4.057687,-0.0894,0.1146,0.9765,0.99
4.074763,-0.2453,-0.0046,1.0908,1.12
4.107565,-0.3459,-0.1659,1.0332,1.1
4.126179,-0.267,-0.1412,1.0256,1.07
4.142866,-0.1549,-0.095,1.0144,1.03
4.163111,-0.0486,-0.074,0.9025,0.91
4.176761,0.0068,-0.0682,0.8035,0.81
4.208028,-0.0963,-0.0151,0.7862,0.79
4.226812,-0.1595,0.0335,0.9293,0.94
4.242089,-0.1981,0.0081,1.0693,1.09
4.264083,-0.2333,-0.0403,1.2076,1.23
4.293244,-0.1903,-0.0112,1.0879,1.1
4.309469,-0.1415,-0.0149,1.0322,1.04
4.325919,-0.0848,-0.0215,0.9892,0.99
4.348758,-0.0225,-0.009,0.8878,0.89
4.359094,-0.0029,-0.012,0.8563,0.86
4.393542,-0.0088,-0.054,0.9074,0.91
4.409335,-0.0024,-0.0276,0.9572,0.96
4.426296,0.0002,0.0107,1.0151,1.02
4.448767,-0.034,0.0327,1.0532,1.05
4.458591,-0.0459,0.0344,1.0547,1.06
4.493462,-0.0269,0.0198,1.0422,1.04
4.510208,-0.0195,0.0169,1.017,1.02
4.526895,-0.0144,0.0156,0.978,0.98
4.549297,0.0071,0.0139,0.9093,0.91
4.559893,0.0217,0.0095,0.891,0.89
4.594044,-0.0081,-0.0117,0.9655,0.97
4.610203,-0.0232,-0.0015,1.0273,1.03
4.628298,-0.0406,0.0073,1.0105,1.01
4.644658,-0.0689,0.0105,1.0649,1.07
4.6657,-0.0989,0.0305,1.0669,1.07
4.693711,-0.0992,0.0486,0.9118,0.92
4.71069,-0.0853,0.0193,0.9692,0.97
4.728112,-0.0501,-0.0061,1.0334,1.03
4.743946,-0.023,-0.0049,0.9987,1
4.766205,-0.0347,-0.0061,0.9486,0.95
4.794164,-0.075,-0.0264,0.9638,0.97
4.810776,-0.0831,-0.0244,0.9806,0.98
4.82777,-0.0875,-0.0164,1.0019,1.01
4.848085,-0.0933,-0.002,1.0046,1.01
4.877605,-0.077,0.0064,0.9951,1
4.893958,-0.0752,0.0103,1.007,1.01
4.911401,-0.0679,0.0176,0.9863,0.99
4.929393,-0.0601,0.0215,0.9526,0.95
4.944138,-0.0511,0.0142,0.9555,0.96
4.966977,-0.0445,0.0088,0.9963,1
4.994578,-0.0376,0.0249,0.9892,0.99
5.012669,-0.0388,0.0215,0.9929,0.99
5.028471,-0.044,0.0183,0.9931,0.99
5.048704,-0.044,0.0139,0.9963,1
5.077995,-0.0489,0.0122,1.0029,1
5.095907,-0.0432,0.0086,0.9894,0.99
5.111772,-0.0472,0.0029,0.9755,0.98
5.128789,-0.0447,0.0022,0.9677,0.97
5.149924,-0.0469,0.0071,0.9623,0.96
5.178929,-0.0518,0.0125,0.9814,0.98
5.19709,-0.0628,0.0083,1.0163,1.02
5.212706,-0.0606,0.0078,1.0183,1.02
5.229547,-0.0606,0.0169,0.9821,0.98
5.246557,-0.0469,0.0134,0.9582,0.96
5.269022,-0.0591,0.0105,1.0009,1
5.296489,-0.0655,0.0235,0.9653,0.97
5.312717,-0.0643,0.0291,0.978,0.98
5.330153,-0.0611,0.0257,1.0227,1.02
5.351227,-0.053,0.0232,1.0036,1.01
5.379742,-0.0481,0.0088,0.9606,0.96
5.397143,-0.0567,0.0002,0.9679,0.97
5.41285,-0.0564,-0.002,0.9772,0.98
5.429985,-0.055,0.0046,0.9897,0.99
5.465282,-0.0537,0.0171,0.988,0.99
5.483327,-0.0484,0.0217,0.9838,0.99
5.496229,-0.0472,0.0213,0.9863,0.99
5.513115,-0.0503,0.0181,0.9921,0.99
5.529996,-0.054,0.0166,0.9963,1
5.550686,-0.0513,0.0181,0.9765,0.98
5.580371,-0.0508,0.0232,0.9885,0.99
5.597783,-0.0472,0.0274,1.0009,1
5.614462,-0.0518,0.0279,1.0026,1
5.63089,-0.055,0.0217,0.9933,1
5.652133,-0.0513,0.0186,0.9706,0.97
5.680483,-0.052,0.0173,0.9872,0.99
5.697936,-0.054,0.02,0.9926,0.99
5.714469,-0.0555,0.02,0.9838,0.99
5.731541,-0.0506,0.0178,0.9824,0.98
5.755162,-0.0511,0.0198,0.9931,0.99
5.780865,-0.0469,0.0205,0.9955,1
5.799037,-0.0503,0.0156,0.986,0.99
5.81428,-0.053,0.0195,0.9789,0.98
5.848855,-0.0503,0.0242,0.9758,0.98
5.87093,-0.0564,0.0283,1.0087,1.01
5.883214,-0.0584,0.0281,1.0141,1.02
5.898509,-0.0586,0.0308,0.9941,1
5.914658,-0.0454,0.0264,0.9701,0.97
5.954306,-0.0562,0.0149,0.9794,0.98
5.965827,-0.0562,0.0259,0.9516,0.95
5.981967,-0.0547,0.0349,0.9628,0.96
5.997848,-0.0589,0.0337,1.0175,1.02
6.033398,-0.0484,0.03,0.9955,1
6.047777,-0.0467,0.0271,0.966,0.97
6.067237,-0.054,0.0154,0.9626,0.96
6.081133,-0.0515,0.0115,0.9736,0.97
6.097759,-0.0545,0.0125,0.9841,0.99
6.132391,-0.0555,0.0276,0.9887,0.99
6.149173,-0.0508,0.0318,0.9821,0.98
6.170451,-0.0435,0.0352,0.9836,0.99
6.183458,-0.0496,0.031,0.9882,0.99
6.198195,-0.0515,0.0271,0.9958,1
6.232156,-0.0523,0.0281,0.9755,0.98
6.24972,-0.0533,0.0322,0.9933,1
6.270284,-0.0513,0.0352,0.9992,1
6.283326,-0.0515,0.0357,0.9973,1
